,Rating,Heading,Review,Product
0,5.0,Worth every penny,Sound quality and Bass is very good. I'm happy with this product. I heartily recommend you to buy this product without thinking so much .and if you think buy a bluetooth headphones then I suggest you flipkartsmartbuy headphones that's good product in budget headphones.,Headphone
1,5.0,Classy product,After using 1 month it is good product and quality wise also bass is also good quality within the price range. It's good to purchase,Headphone
2,5.0,Brilliant,"pros-
1... awesome sound
2... good bass
3... treble is also well optimized
4... noise cancellation mic😍
5... well wire quality
6... comfort over the ears in the long run
7... adjustable length according to person to person
8... play ..pause .. change of song can be done through in-line mic
9... light-weight according to this price point
10... good head cushion
11... good build quality according to this price.

cons-
1... folding hinges looks somewhat weak structure.. advised to not to fold t...
READ MORE",Headphone
3,,,,Headphone
4,,,,Headphone
5,,,,Headphone
6,,,,Headphone
7,,,,Headphone
8,,,,Headphone
9,,,,Headphone
10,5.0,Fabulous!,"This is a real deal here.
Bass - 9.5/10
Sound clarity- 9/10
Build quality - 8/10
Cushion - 7.5/10, Comfortable, but not suitable for long period of time and builds up heat inside your ears.
Watching movies - 9/10
Looks- 8/10
Passive Noise cancellation - 8.5/10 but, when you listen to songs, you won't hear a thing from outside environment.
Volume level - 9/10, 100% is just too much and it gets so loud. I keep it at 75% and I enjoy my music.
The most important part of this headset is bass...
READ MORE",Headphone
11,5.0,Best in the market!,Quality is very good really appreciate the Flipkart products whatever the reviews and ratings they are really nice help us to buy the good products like Thanks flipkart for on time delivery and good products,Headphone
12,4.0,Value-for-money,"Awesome product nice sound clarity and bass is also nice but little bit tight on ear, ears starts paining after 1hr of use, when you put it around your neck it starts prickin due to its sharpness you have to rub its edges but you cant find product like this in this price range totally satisfied
delivery was very late they took 20 days to deliver this procuct",Headphone
13,5.0,Best in the market!,I would like to tell each and everyone of flipkart customer that this product is very nice.It has amaizing with good quality sound and super bass...i love it😋Stay happy,Headphone
14,5.0,Great product,"it was delivered to me 2 days only . and product was awesome then headphone was long life use sure and comfortable wise tight to my ears.The wire is a bit too long. Other than that, everything works just fine. The sound quality is amazing, bass quality are pretty good. It doesn't hurt your ears much.",Headphone
15,5.0,Must buy!,Just awsm guys.. best bass.. pure comfortable.. go for it without any confusion.. better than jbl.. you can feel the difference.. it is specially for bass lovers.. now im totally happy,Headphone
16,5.0,Worth every penny,it's a better than other headfone.sound quality is good bass is awesome.i am happy with this HF .thanks Flipkart for giving amazing offer and delivered in time.giving 5 star for Flipkart.,Headphone
17,5.0,Wonderful,"My first ordered product on fipkart ... Really valued product , amazing 3D sound experiencing ... Sound Bass Clarity too best , best Headphone for PUBG lovers at low price ...",Headphone
18,5.0,Classy product,"It's a good product having Bass n clear Sound.
As well as Good look n design.",Headphone
19,5.0,Must buy!,reviewing after 1m of extensive use. gave preference 2 boat over jbl and can say worth it👌bass is 100% original & sound quality is upto d mark 👍 overall built is nice and can rotate in any angle you want while travelling 😊 got it at 600 bucks and value 4 money experience 👍 if ur bass n clear music lover just go 4 it without any doubt 👌👌,Headphone
20,4.0,Nice product,"I just can't believe .
I mean in that price it just Awesome Guys.
it really nice go and buy it now.
Nd thanx for Delivery it's so Fast.
I'm so Happy With my BOAT HEADPHONES.",Headphone
21,5.0,Perfect product!,"very good quality 👍
must try 8d songs on this you will feel awesome 😘😘
bass quality is excellent 👌
I have done bass test and sound test 😁 it passed
I am writing this review while listening songs on it 😘",Headphone
22,5.0,Simply awesome,Best 💯product best sound quality. This product is amazing 👍and price is valuable for everyone,Headphone
23,3.0,Does the job,excellent product sound is better but not best value for money it's awesome,Headphone
24,5.0,Classy product,"I really very impressed with the product, it's sound quality is very good and bass is also very good,, but it's look is not so impressive, it should be modified with a best appearance! Otherwise everything is excellent👍👍.",Headphone
25,5.0,Brilliant,really awesome headphone... you can listen all the beats in music .. bass is so good boom boom... thank you boat for providing best quality sound at this price bracket.. also thank you to flipkart for faster and safe delivery.,Headphone
26,5.0,Worth every penny,"Best over headphone at this price segment.
⭐⭐⭐⭐⭐
Very attractive design and best sound quality and bass.
Thank you very much for making this perfect overhead headphone.
Thank you boat team.♥️",Headphone
27,5.0,Classy product,Awesome product.......It's going to be one month since I bought this headphone and l'm just loving its sound quality............. Don't hesitate JUST GO FOR IT and trust me YOU'LL ALSO LOVE IT !!!!!!!,Headphone
28,5.0,Awesome,"Excellent bass... awesome sound quality
A great performance beast among other headphones at this price...loved it.. thank you boAt and Flipkart",Headphone
29,4.0,Good quality product,"These headphones are pretty small in size. So for a person with a big head these will definitely be uncomfortable. Having said that they are absolutely value for money.
The bass is punchy. So if you are into electronic music these are perfect for you.
But I noticed that these headphones tries to put bass into almost everything. So when I was using these on a call, the person voice wasn't clear enough and was bassy...
Also if you listen vocals on these, it wont be great.
So as the name has bas...
READ MORE",Headphone
30,5.0,Great product,superb product sound clarity is awesome and great purchase and delivered within time by flipkart ....thankyou,Headphone
31,5.0,Mind-blowing purchase,"Nice product
Value of money
*With bass
*Overall a really decent product from boat, excellent sound clarity and good bass makes it good for watching movies.
*Most suitable for indoor usage, good value for money.
*its clean design and high bass performance levels.
* If you are a gamer you can love it.
* This headphone delivers quality sound without any sound leakage to disturb others.


* You can buy it..You will not face any problem for warranty activate also.




Thank you",Headphone
32,5.0,Classy product,"Friends This BoAt Bassheads 900 is more than any other Headphone. We got A deep bass in this Headphone....The sound clarity is aewsome...if you find a best headphone in low price ...than you can go for this headphone...... I am Happy with this product ..,Thanks to BoAt Nirvan Company...",Headphone
33,5.0,Worth every penny,This product is very stylish and beautiful. For that we ordered this two. In this Price it's a good wired headset. This products delivered in great conditions.,Headphone
34,5.0,Must buy!,my brother is really very happy with this product really very nice product and sound quality really amazing love it pls go for it..,Headphone
35,5.0,Simply awesome,"Nice, the bass is awesome and the plug for connecting to very comfortable 👌👌👌👌👏👏❤❤ this speaker is like a dj .......",Headphone
36,4.0,Delightful,it was awesome I used it for a week then rated it sound was great impact 3D sound on gaming like PUBG etc. value of money.,Headphone
37,5.0,Perfect product!,"1. Amazing built quality
2. stylish
3. sound clearty awsm
4. Bass oh my God i love it u cant accept that headphone was vibrate during listing songs
5.best headphone for pubg. spcly i bought this for pubg. When u fire then u say its awsm.
6. Mic is awsm. No to need put the mic near to mouth
7. Flexible wire
8. Daaru Badnam Kardi wow
9. best in 599/-
10. Damm Service.Pickup at home and delivered in home.
this is my 4th product of boat
i just say i love it
Go blindly this product",Headphone
38,4.0,Worth the money,"Awesome bass sound ,,,
Feel like satisfies when hear the clarity music",Headphone
39,5.0,Worth every penny,"The headphone is really an amazing one. In this price getting a headphone like this is great!The sound quality is awesome.....no other headphones have such quality . also the design is very good. I can suggest everyone of you to buy this headphone . In affordable price a good quality headphone.
The only problem that i faced is while tracking ...it is not showing the exact location.😘😘",Headphone
40,5.0,Mind-blowing purchase,so nice products good quality good sound ... good Paking ...🤘🤘🤘🤘👌👌👌👌👌👌,Headphone
41,4.0,Nice product,"there is already lots of good review about this product ,
but i,m sharing my personal experience its overall good product in budget ....
thank you flipkart and to delivery guy who talked very respectful to me 😉",Headphone
42,5.0,Super!,"The sound of this headset is very good quality ,In PUBG Mobile we can hear the footsteps very clearly and If any other player is in the left we can hear it on our left ear ,At All the product is perfect and value for money but after hearing more than 2 hours
my ear was paining they should make the leathers wider",Headphone
43,5.0,Awesome,I purchase this for my best friend. I think he will very happy to got this the sound quality is awesome 👌 and the bass is also good . I am satisfied to purchase this. I recommend to buy this.,Headphone
