,Rating,Heading,Review,Product
0,3.0,Just okay,"It's good
I used 2 month ago and daily
its working properly you can buy it",Headphone
1,1.0,Worthless,All good but case lid not so strong if case will be magnetic it will be better,Headphone
2,5.0,Super!,Bluetooth best,Headphone
3,4.0,Really Nice,The bass is good low and mid are also good but the treble should be better otherwise a good earphone to buy.,Headphone
4,1.0,Don't waste your money,Very bad quality...sound quality is not good....,Headphone
5,3.0,Does the job,While speaking to someone if comes another call automatically headset rejecting the speaking call it was disappoint to this headset,Headphone
6,3.0,Fair,"Product is nice but the seller is not good first I received a defective item ,so I replaced it after replace I get a damaged product I am very dissatisfied with super corn net seller.",Headphone
7,1.0,Absolute rubbish!,Touch button is not working after using 2 month,Headphone
8,1.0,Worst experience ever!,No battery backup,Headphone
9,3.0,Decent product,"Sound go outside, anybody can hear the sound to sit next to me",Headphone
10,3.0,Good,"wa you can try to get senior manager and mm and mm top of the seven and eight years ago when I get in top y you can top solo and group ma add a comment to the seven year are not the one I sent you the best of my team and mm top solo and ensemble and I am a very good and I am a bit to get the latest flash the firmware version you have a good time for the games are play and ziliong you are not the intended recipient you are not the same opponent who have a good time and mm top lane suite of pro...
READ MORE",Headphone
11,3.0,Decent product,this product good but play and pause button not good and not properly work,Headphone
12,2.0,Not good,"IMP Review
Sound Quality is Smooth but bass effect is not like Boat Rockers 255 pro i m Boat Lovers. Design n buid quality is Very Good & Battery Back up is just ausome i m 2 days used in 1 full charge. I little bit low latancy when play the game in BGMI.

After 4 Months Using This Reviews -:
Guy's Don't Buy it This Model Bluetooth Earphones because of i have 2 times replace it from Boat Company, One Side of Bluetooth Earphone is not working after some Time.",Headphone
13,5.0,Terrific,Overall okay,Headphone
14,5.0,Super!,GOOD👍,Headphone
15,1.0,Not recommended at all,"Worst Product as Have purchased this product 1 week before and having problems of disconnection every minutes
when I called Customer care,He spoke to me rudely and disconnected the call,never buy this product or you will regrett",Headphone
16,1.0,Worst experience ever!,Didn't work properly even for 3 months...!,Headphone
17,1.0,Did not meet expectations,Battery is too bad and in between calls it gets disconnected.....I would like to suggest don't trust or buy this product.....,Headphone
18,4.0,Good quality product,Superb Bass. Good Fittings. Light Weight. Reviewd just on day 1. Will give more on build quality after 1 week usage,Headphone
19,2.0,Moderate,"SOUND QUALITY IS GOOD BUT BUILD IS NOT GOOD FOR LONG TIME USAGE & BATTERY BACKUP IS ALSO NOT GOOD IT SHOWS 100% ONCE CHARGE FULL IN SOME TIME IT SHOWS 80% & START DISCONNECTING THEN IT SHOWS 20% OR OFF.. COMMITTED BATTERY BACKUP IS 6 - 8 HOURS, ACTUALLY ITS ONLY FOR CONNECT NOT FOR USAGE..",Headphone
20,1.0,Waste of money!,"sound quality is good but I think either their is some problem with my mobile audio jack or audio jack of headphone.
but my old headphone is working fine with it.
the problem is it's not correctly fitting to the mobile that's why sometimes microphone doesn't work or sometimes the headphone it self doesn't work.

but when it works sound is awesome 👌

edit: don't purchase it's faulty",Headphone
21,1.0,Utterly Disappointed,"Light said not working,",Headphone
22,3.0,Good,That's ok,Headphone
23,1.0,Terrible product,"dublicate product... I used only 2 weeks and after that it gets damaged, the wire near mic has been broken.",Headphone
24,4.0,Good choice,Feeling very comfortable in ears,Headphone
25,1.0,Very poor,Very bad experience dont buy it,Headphone
26,4.0,Pretty good,Everything is good.but mobile connectivity very poor,Headphone
27,4.0,Very Good,verry niceee...😍♥,Headphone
28,3.0,Good,"Good at This Price , sound Quality Is good enough , Bass Not as expected,

Box become totally Loose after 10-15 days",Headphone
29,1.0,Terrible product,"Making problem
No sound heared for some time even when connection",Headphone
30,5.0,Fabulous!,Perfect.....❤️,Headphone
31,3.0,Just okay,It is good but i bought it in October 019 & in jan20 iam facing left side earplug not working and no customer support it is already in warranty but not getting proper feedback.,Headphone
32,4.0,Delightful,Really good product and sound quality is osm,Headphone
33,4.0,Delightful,Good battery backup..... Design good nd sound good not excellent,Headphone
34,5.0,Mind-blowing purchase,Good nice,Headphone
35,4.0,Good choice,"Sound quality good.
Bass is good
Comfortnes is good
Only drawback is sound is also hear in outside.",Headphone
36,5.0,Simply awesome,Very good sounds,Headphone
37,5.0,Must buy!,feels like a mini theatre,Headphone
38,3.0,Decent product,"Really nice!
The cord length is long as well.",Headphone
39,1.0,Don't waste your money,Connectivity is very poor,Headphone
40,1.0,Worst experience ever!,Waste of money.,Headphone
41,5.0,Best in the market!,Highly recommended,Headphone
42,5.0,Nice n perfact,20 hour backup n sound awesome,Headphone
43,4.0,Delightful,Good sound and bass,Headphone
44,1.0,Hated it!,Very very bad products never ever purchase....🙏🏻🙏🏻plzzz........discating products boat products are hated by me,Headphone
45,5.0,Awesome,Best at this price..,Headphone
46,1.0,Hated it!,"It's not that good for calls , It is good only for music.
Mic is worst , not able to take calls while riding cycle or bike.
Blat should work on Mic quality and Mic/ Battery performance rest everything is good .",Headphone
47,4.0,Really Nice,I expected a little too much with boat at this price. After using a while it shows some glitches.,Headphone
48,3.0,Nice,Good quality sound is powerful,Headphone
49,5.0,Perfect product!,Super quality super bass,Headphone
50,4.0,Value-for-money,Very nice Sound,Headphone
51,4.0,Very Good,Good one in this range,Headphone
