,Rating,Heading,Review,Product
0,5.0,Brilliant,"in love with this little beast..sound is crystal clear with perfect flavor of bass, treble is also up to the mark..over all built looks quite bulky but its easy to carry and because of that its built quality is bit compromised but still at this prize range there is no any other product comparable to it. It's simply awesome i will rate this product over all 4.8/5..i m satisfied with the product..just a little upgrade with fm and a addition of bass adjusting regulator it will be perfect..i foun...
READ MORE",Home theatre
1,5.0,Simply awesome,"I am very happy with Boat Partypal 60, 20 watts Bluetooth Party Speaker. It has most of the features I needed along with good quality sound and the Karaoke mic. So despite not being the loudest, this speaker is quite impressive with its good bass response and sound clarity.

Although, there are many options available in the market I could somehow trust the Boat brand having used a few Boat products before and I am glad I did that. High quality distortion free sound even at peak volume which i...
READ MORE",Home theatre
2,5.0,Wonderful,Its sound quality was good but to heavy it is not portable but in this price segment it is and best party speaker it's plastic quality was cheap. It's quality and design must be more better.,Home theatre
3,,,,Home theatre
4,,,,Home theatre
5,,,,Home theatre
6,,,,Home theatre
7,,,,Home theatre
8,,,,Home theatre
9,,,,Home theatre
10,5.0,Brilliant,"in love with this little beast..sound is crystal clear with perfect flavor of bass, treble is also up to the mark..over all built looks quite bulky but its easy to carry and because of that its built quality is bit compromised but still at this prize range there is no any other product comparable to it. It's simply awesome i will rate this product over all 4.8/5..i m satisfied with the product..just a little upgrade with fm and a addition of bass adjusting regulator it will be perfect..i foun...
READ MORE",Home theatre
11,5.0,Simply awesome,"I am very happy with Boat Partypal 60, 20 watts Bluetooth Party Speaker. It has most of the features I needed along with good quality sound and the Karaoke mic. So despite not being the loudest, this speaker is quite impressive with its good bass response and sound clarity.

Although, there are many options available in the market I could somehow trust the Boat brand having used a few Boat products before and I am glad I did that. High quality distortion free sound even at peak volume which i...
READ MORE",Home theatre
12,5.0,Wonderful,Its sound quality was good but to heavy it is not portable but in this price segment it is and best party speaker it's plastic quality was cheap. It's quality and design must be more better.,Home theatre
13,4.0,Delightful,"ordered it after doing extensive research. moreover i had earlier used boat headphones so i had idea about quality standards of the company.

MUSIC: not super loud, but loud enough to enjoy.
SOUND QUALITY: i am blown away. its awesome.
BASS: bass is there, it is between okyish and good.
LOOKS: I liked it, easy to carry, easy to acess.
good for daily and in house use.

CONS: sometimes i just want to enjoy a particular song on loud sound with vibrating bass.. that craving is not satisfied.

o...
READ MORE",Home theatre
14,5.0,Wonderful,"Superb excellent should buy worth for this price loving it thank you flipkart.sound quality perfect. 100 satisfaction, worth product .",Home theatre
