,Rating,Heading,Review,Product
0,5.0,Perfect product!,"Nice product, nice purchase.
Safely delivered.
Monitor is very good, no cons till now. Happy with the product and purchase.
Used for office work, don't know how it is with games.
Do not buy to extend the monitor for macbook pro, as macbook have retina display and won't sync with macbook in terms of screen quality.
Worked very well with other windows laptop.
Kudos",Monitor
1,5.0,Wonderful,well.....Ist of all package was mind blowing safe and tight. after unbox as usual harsware install. bt after i connect with pc i dont feel any HDness. well its jst a lcd monitor with led in back. thats it.. lest use it for some months. see ya,Monitor
2,5.0,Awesome,LG monitor is very good it is budget segment monitor nice viewing angle and with nice features like power saving mode and many more,Monitor
3,5.0,Wonderful,nice product and beautiful monitor 😍😍 very clear screen I love it so much,Monitor
4,,,,Monitor
5,,,,Monitor
6,,,,Monitor
7,,,,Monitor
8,,,,Monitor
9,,,,Monitor
10,,,,Monitor
11,5.0,Wonderful,well.....Ist of all package was mind blowing safe and tight. after unbox as usual harsware install. bt after i connect with pc i dont feel any HDness. well its jst a lcd monitor with led in back. thats it.. lest use it for some months. see ya,Monitor
12,5.0,Awesome,LG monitor is very good it is budget segment monitor nice viewing angle and with nice features like power saving mode and many more,Monitor
13,5.0,Wonderful,nice product and beautiful monitor 😍😍 very clear screen I love it so much,Monitor
14,4.0,Really Nice,I like thz product. Low cost and wide screen. But when I see the moniter in top angle the screen is bright and in down angle the screen is dark.,Monitor
15,5.0,Mind-blowing purchase,This monitor is good and enough for daily use. it has been 1 month i have been using durable and worth of price,Monitor
16,5.0,Worth the buy.. Satisfied,"Order on 13th Aug and Delivered on 25th Aug 2018 as mentioned. Firstly screen quality is too awesome, picture is clear. Gaming is better. Crisp display, i would say a better brand and worth the money.",Monitor
17,5.0,Must buy!,"omg!what a terrific purchase i had.though the scheduled delivery date was long but the wait was worth.such awesome packaging!the item got shipped from Jaipur i think,still this was intact and in perfect condition.awesome display and size.the product is original.comes with a guarantee card too",Monitor
18,5.0,Fabulous!,Excellent product. Very good display. Packaging also very good. Timely delivered. Excellent service by FLIPCART.,Monitor
19,4.0,Really Nice,best in class value for money I am using it since 1 year it is working best loved it. but it is not meant for gaming,Monitor
20,5.0,Excellent,"The Best Desktop Monitor You Will Get here, Awesome service and Mindblowing Package, The Slimness is Awesome and Excellent Packing..
...........Just Go For it......",Monitor
21,5.0,Very Good Quality Monitor,"I used CRT 17 inches LG monitor for 7 years and then Samsung 21.5 inch LCD for another 5 years and then I used Intex 18 or 19 inches LCD monitor for another year and I am using this LG monitor from last 2 days.

PROS:
very soft on eyes
lightweight and compact
power cable and VGA cable come along with this
very good display

CONS:
none

I was tight on budget and earlier I thought of ordering Punta 15/15.4 inches monitor for it was available for 3K. But now I am very happy that I ordered th...
READ MORE",Monitor
22,4.0,Very Good,VERY SATISFYING PRODUCT.,Monitor
23,5.0,Highly recommended,very fast delivery.... thanks flipkart. and monitor is very good.. picture quality is too good.. overall..all is well..,Monitor
24,5.0,Super!,Nice Product Awesome,Monitor
25,4.0,Worth the money,Nice,Monitor
26,5.0,Delightful,Excellent !!!,Monitor
27,3.0,Wonderful,"Great product rs 4799, in sale. Nice product delivered product before date.",Monitor
28,4.0,Pretty good,Verry good clarity for screen power consumed save,Monitor
29,5.0,Worth every penny,osam monitor... lg is a best.,Monitor
30,4.0,Worth the money,good,Monitor
31,5.0,Just wow!,Nice product,Monitor
32,5.0,Just wow!,Good build quality. Display is little bit whitish because of LED display. I bought it for rs. 3799.,Monitor
33,5.0,Great product,Very nice,Monitor
34,4.0,Really Nice,"wonderful , nice product.....",Monitor
35,5.0,Worth every penny,LG led monitor very good.,Monitor
36,5.0,Terrific,it is a best product at this price go for it,Monitor
37,4.0,Nice product,GooD1,Monitor
38,5.0,Terrific purchase,very nice,Monitor
39,4.0,Nice product,"Fast delivery
Great packaging❤️
Satisfied as always☑️",Monitor
40,5.0,Awesome,"It's a good product .. picture clarity is good..fast delivery
worth the price ..Super product",Monitor
41,5.0,Best in the market!,Value for money,Monitor
42,5.0,Super!,"Good quality product
Display quality is awsome
reasonable price
Good packing
Speed delivery",Monitor
43,5.0,Excellent,super monitor . value for money.,Monitor
44,3.0,Good,Ok,Monitor
45,3.0,Does the job,product is good but can't see videos from side,Monitor
46,1.0,Unsatisfactory,"this seller denied to give delivery to my place which was mentioned during ordering ...he accepted the order then denied delivering to my place so I had to go 12-13 kilometres for getting this delivery ...Seller doesn't know what is customer care and still I am amazed to see Flipkart has tied up with such sellers ...
bad experience I guess Flipkart is just selling products now from which ever seller possible and is not worried about their long time or new customers pain ....
Flipkart ur cra...
READ MORE",Monitor
47,5.0,Brilliant,nice product,Monitor
48,2.0,Bad quality,good,Monitor
49,5.0,Excellent,ok,Monitor
50,5.0,Highly recommended,Good product Nice one of the best way,Monitor
51,1.0,It is not like LED it's like LCD,"Please Do not purchased it. It's Quality is very poor. I purchased this LED because my friend have been used 20"" LG LED monitor and that's quality is good...but this product is a waste of money....Viewing angle is worst... I am not satisfied with this.",Monitor
52,5.0,Mind-blowing purchase,Nice monitor,Monitor
53,5.0,Classy product,"comfort ,slim and amazing",Monitor
54,5.0,Great product,Very good,Monitor
55,5.0,Perfect product!,Excellent product. Very good display 😍😍. Packaging also very good. Excellent service by flipkart.,Monitor
56,4.0,Good choice,GOOD,Monitor
