,Rating,Heading,Review,Product
0,5.0,Perfect product!,"Very nice printer, is worth the purchase. Ideal for Home printing but the black cartridge prints hardly 100 Pages and same with Color cartridge.The cartridge price is costly so I suggest you to Buy GoColor Canon compatible ink's each bottle is of 100 ML and you will find that there's is difference between Original and GoColor ink's. You can refill the cartridge at home in the kit you get everything just watch a video on YouTube and you will save you 96% Printing cost. I have done the same thi...
READ MORE",Printer
1,5.0,Excellent,"great !! easy to use ,, budget friendly,, good printing quality,, looks comfortable, weight also user friendly",Printer
2,5.0,Brilliant,"nice product
I am a student I ordered this for my work I don't have a computer or a laptop I only have Android phones so I ordered that and now I print the worksheet from this printer very nice printer",Printer
3,,,,Printer
4,,,,Printer
5,,,,Printer
6,,,,Printer
7,,,,Printer
8,,,,Printer
9,1.0,Not recommended at all,"printer is very good but it's cartage is not good because it prints less than 100 copies and even after cartage is empty than new cartage cost is very high..
So I don't recommend this printer to anyone.",Printer
10,5.0,nice product,"its a good printer, but i found it little slow to start printing. the scanner is really awesome which give good clarity",Printer
11,5.0,Great product,Very nice product . I am loving it . best printer at this price,Printer
12,5.0,Super!,"Amazing printer
But cartridge is expansive
But there is a way you can save your money by refilling your cartridge
Just purchase ANG refill ink and fill cartridge
You can see videos in youtube of cartridge refill
By this way you can save your money upto 95 %
Once again product is amazing
Thanks flipkart for fast and safe delivery ❤",Printer
13,4.0,Worth the money,"So far it's good . I got a little blinding edges but it's just minor details .
The colour print quality is pretty amazing it's like the ones we get cafes .
Yes buying the ink will be expensive .
Printed some cartoons and I'm happy they look amazing.",Printer
14,5.0,Terrific purchase,"PROS:
1. Available at cheap price.
2. Decent for less amount of printing.
3. Scanner is fast and colour accurate.

CONS:
1. Ink capacity is too low, hardly prints 40 pages with the cartridge included.
2. Print speed is too slow.
3. Cartridge are costly as compared to other printer.

Suggestion:
Get a cartridge refill kit which has all essential tools required and good quality ink!
Happy Printing :)",Printer
15,5.0,efficient and good product.,"Best thing is abt the cartridges are very easily available and they can be refilled as well unlike most of the other printer.

Scanning Quality and speed is great as compared to others.",Printer
16,3.0,Terrible product,"The product you sent me had faulty scanner.the service centre was nearby so.i got it fixed .. this not a good thing.
But i am a kind person so i will buy another one and give this seller another chance ..

Btw its a good printer like hp1050",Printer
17,4.0,Nice product,"I am writing this review after 4 years of use. The printer worked fine for whole 4 years. Easy to scan and xerox. Print quality is good.
Cartidge is costly.
After using for 4.5 years, it is showing some software error. Canon Service Centre is asking for 2500/- (same as the printer price) to reset the processor IC of the printer. Hence I placed an order for a new one again from Flipkart.",Printer
18,2.0,Decent Product,"Pros:
1. Decent Product for home use (only for printing and copying). Printing speed is average. Easy to troubleshoot

Cons:
1. Configuring scanner is a big head-ache. The driver given along with the product wont be compatible or have some issues with Win7(I tried with 2 laptops and a desktop). Communicated with Canon support to sort it out. But again stopped working in a months time
2. Makes lot of noise while printing.

Verdict:
You can use this product only for printing and copying. I...
READ MORE",Printer
19,5.0,"Canon Pixma - Best Quality Scanner, Printer, and Copier","Product Name: Canon PIXMA MG2470 All-in-One Inkjet Printer (Grey White)
-------------

Introduction: Multi-Function device that scans, copies and prints.
-------------

Features/Uses:
--------------
-Provided with a 1 year Canon India warranty
-Supports USB 2.0 access and requires external power
-Comes with software installation disk and color ink cartridges
-The Canon PIXMA is an all-in-one printer that prints, scans, and copies

Advantages:
-----------
-Offers support for Linux systems with...
READ MORE",Printer
20,5.0,about printer,it is good and viry high compartiable product it can scan fast and it can print with a good print its good printer so many of them should by withs seller,Printer
21,2.0,Funny cartridge is costly than printer :),"This printer is good also it can be used to copy but this is not good for scanning.
scanning option is seen anywhere. printing and coping is clear and good. good for homely use.",Printer
22,1.0,Unsatisfactory,"It's been a week since I bought the product and still haven't been successful in getting it connected to an android phone. Downloaded two apps and still not done. Such products should have longer duration for returns and should also have refund options.
I still haven't managed. If there is anyone to support or guide, pls contact.",Printer
23,5.0,Good printer in Low Budget,"Well agree to some of the reviews made that it is slow, however note that it happens only while using it for the first time.

After the color test page is printed, you will see that the printing speed is comparatively better.

Ink Cartridge are a bit expensive and even one of the ink gets finished you wont be able to use Printer, the best alternative would be ink colors that are available in flipkart.

Delivery was as usual best by Flipkart.",Printer
24,4.0,Delightful,Best printer with reliable price. Easy setup and installation. Works excellent with Linux OS as no need to supply CD and driver. Everything is done by linux itself.,Printer
25,4.0,Delightful,very good product and nice printing.. I am really very happy ....but ink cartridge ends very quickly and not used to others purpose.,Printer
26,5.0,Worth every penny,Before time delivery and well packed. Very good printer for domestic use.. Good quality printing and scanning. Recommended product from my side in the price range.,Printer
27,1.0,No value orientation,"Well despite the fact that its a good brand. The product is not worth buying.
I bought it some 8 month back and believe me it has hardly given some good response and hardly got 30 copy printed.
Such a Waste of money, instead get it xerox from store and get a good one.",Printer
28,3.0,Fair,it works amazing with low cost printing quality is very nice . well product,Printer
29,4.0,Nice printer for price you pay,"Not bad for price you pay, i was mainly looking for scanner and it does work so no complain. I struggled to do setup though, it took 1 day to figure out that it only works when you insert both cartridge, as my plan was to scan i didn't put color cartridge and that caused error 214021. Wish there could have been some better info on this... Printer is also good but ink drys too fast so don't expect much out of it.",Printer
30,4.0,Really Nice,good product at low price. good for home use specially for school project. delivery was done by GATI. could be more efficient. Flipkart just love you for your offers .,Printer
31,3.0,Three Stars,"Hey..! I've been using this canon pixma as my first printer for about 6 months..!

Pros : It is really cost efficient..my usual cartridge refill last about 2 months of basic home usage+projects
2. It is scanner + printer which both works fine.
3. Doesn't take much space and sheets
Cons :
Sometimes dont give efficient results.some smudges and print on paper
Paper takes too much time to get recieved in printer
Overall its a good product but only recomment it for home use.🎀🎀",Printer
32,5.0,Terrific,Very nice product in affordable price.delivery was good.packing was awesome .printer working very much fine .,Printer
33,5.0,Awesome,This printer has helped a lot in my projects.Tjis is a gorgeous printer that I have never seen.The owner of this printer would be very happy and in a favorable mood since from first day of buying this printer.,Printer
34,5.0,Wonderful,Superb very friendly for personal use very fast and good quality love it,Printer
35,5.0,Wonderful,"Excellent product in seal pack . Lowest price for an all in one . Good quality printing , scanning . Easy to handle for personal use",Printer
36,5.0,Excellent Product,The most important thing is it has a refill friendly cartridge which according to me is a very important feature in the current market...the print quality is good...the scan quality is awesome..flipkart gave it to me within 16 hours..by which i was totally surprised...a must buy cuz its too good a machine for this price...,Printer
37,4.0,Value-for-money,"Received the printer in good condition. It looks modern, and the shape and size is pleasing to the eye. It installed fairly easily. Found it convenient to use. Printout is of sufficiently good quality. Overall, a good product. The price of the printer is low, so I don't think that the printing costs are going to be very good.",Printer
