,Rating,Heading,Review,Product
0,5.0,Excellent,"Awesome Watch , More better than I ve expected, I m loving it 😀 it's look like my apple smartwatch , it's Amazing Experience flippant, its an outstanding product 😀 👌 with a low price , I think in this price range this is the best nd usefull thing flipkart ,Too good 👍 And too many Applications and things in this watch ⌚ just 👏 👏 👏 👏",Smart watch
1,5.0,Best in the market!,Nice product,Smart watch
2,5.0,Terrific,Extremely value for money,Smart watch
3,,,,Smart watch
4,,,,Smart watch
5,,,,Smart watch
6,,,,Smart watch
7,,,,Smart watch
8,,,,Smart watch
9,5.0,Excellent,"Awesome Watch , More better than I ve expected, I m loving it 😀 it's look like my apple smartwatch , it's Amazing Experience flippant, its an outstanding product 😀 👌 with a low price , I think in this price range this is the best nd usefull thing flipkart ,Too good 👍 And too many Applications and things in this watch ⌚ just 👏 👏 👏 👏",Smart watch
10,5.0,Best in the market!,Nice product,Smart watch
11,5.0,Terrific,Extremely value for money,Smart watch
12,3.0,Fair,Super,Smart watch
13,4.0,Value-for-money,Awesome product but no features and no screen from DD traveling vlog,Smart watch
14,1.0,Did not meet expectations,"good no problem but conneting
ar notification problems",Smart watch
15,3.0,Nice,Nice,Smart watch
16,5.0,Terrific,Nice product,Smart watch
17,3.0,Just okay,Good,Smart watch
18,5.0,Brilliant,Very good,Smart watch
19,4.0,Really Nice,This product is very useful for me.and i sugges my all friends for purchase,Smart watch
20,4.0,Very Good,Sufficient in this price good,Smart watch
21,,Worthless,No battery life,Smart watch
22,,Not recommended at all,Very very useless not good at all don't buy this,Smart watch
23,,,,Smart watch
24,4.0,Very Good,Sufficient in this price good,Smart watch
25,1.0,Worthless,No battery life,Smart watch
26,1.0,Not recommended at all,Very very useless not good at all don't buy this,Smart watch
27,1.0,Worst experience ever!,Not changeing,Smart watch
28,1.0,Absolute rubbish!,Very bad product.,Smart watch
29,1.0,Very poor,Very very bed product,Smart watch
30,3.0,Does the job,Good,Smart watch
31,4.0,Good choice,Not bad,Smart watch
32,1.0,Absolute rubbish!,Very bad product,Smart watch
33,5.0,Fabulous!,It's so amazing,Smart watch
34,4.0,Wonderful,"Pros -
1. Design is awesome.
2. Build quality is superior.
3. Display quality is very good.
4. Battery life is average.
5. Connectivity is fine no issues.

Cons -
1. Heart rate monitor and SPO2 working fine any where if you put it like in your hand or in any object anywhere.👎
2. Accuracy rate of live tracking is average means 3 out of 5.",Smart watch
35,5.0,Must buy!,"Nice smartwatch...

Pros: nice look
Metal build
Simple UI
Nice & colourful Display
5 - 7 days battery
Dizo application is good
5 atm water resistance

Cons: watch goes to little heavy side
Screen protection not specified
Few bugs in UI and Dizo app
Not suitable for Small wrests
No screen protector with watch",Smart watch
36,5.0,Super!,Nice good brightness also super vibration also excellent super wake up when we rise hand 👏👏 👌👌 super I like it thank you flipkart go it Bros it's a chance to get this excellent watch display is outstanding....🥰🥰🥰🥰❤️❤️❤️❤️😋😋,Smart watch
37,,,,Smart watch
38,,,,Smart watch
39,,,,Smart watch
40,,,,Smart watch
41,,,,Smart watch
42,,,,Smart watch
43,4.0,Wonderful,"Fall in Love with frist look.
Pros : * Excellent design , Metal build,
* Premium finished (looking rich)
* Super display, 600 nits brightness .
* 5 Atm water resistant so you can swim,
* Good battery backup
*Excellent quality sillicon strap.
Cons: Not accurate helth tracking,
No trees and body temperature monitoring,
Some times wake to raise not work,
Sleeping tracking not work s...
READ MORE",Smart watch
44,4.0,Good quality product,Watch is good looking. But the Dizo iOS app should be more attractive and more user handy and need to be improved a lot.,Smart watch
45,5.0,Great product,"Best option under 2000.Spo2 and heart rate working good and watch is really fast in sync as soon as you get notification in your phone without any lag watch also receive msg (same time notification).
*Good looks
*100 + watch face
* Real spo2 and HR sensor(24 hr HR Monitoring,high and low heart rate reminder you can set it through realme link app)
* Fast synchronization with your phone
* Value for money",Smart watch
46,5.0,Awesome,"best watch available for this price and features are awesome with the display weight no defective product and great features and 15 sports mode the sensors are high quality with find my phone option and 4 heart modes new displays and very good battery life love the product and cannot find any other watch like this
these are better then mi band and other smart watches you get the price very low mentioned and don't judge it by the price you will love the product and battery charging is awesome...
READ MORE",Smart watch
47,5.0,Best in the market!,"This is the thing which you need , best watch ever ,the quality is good 'can't say bad ' it has metal body so no problem , battery is enough 7-8 days. 5 ATM , features are awesome but I will say Dizo to make it's sensors more accurate it is good but it can be made more accurate so by an update you can make it more accurate even it counts steps when I go to college on scooty you should work on it . Overall it is good , thankyou.",Smart watch
48,5.0,Awesome,"It is the best smartwatch. Some of its pros are:
#It worth its cost.
#I like the wallpapers.
#Metallic built give it a premium look.
#Straps are very soft.
There are a few cons:
#Pixel density is less, that's why some wallpapers does not look good.
#Raise to wake is little slow but that's ok.
#It is a little heavy also.
Overall it is the best smartwatch under this price range.",Smart watch
49,5.0,Simply awesome,"Awesome watch by dizo(realme) everything is perfect according to price point even a metallic body under 3k is absolutely unexpected anyways very impressed with the watch good really good smartwatch.
Moreover
The 1.69 Inch large display makes it a perfect wareable watch you can set analogue digital style in your watch with 70+ watch faces in dizo app",Smart watch
50,5.0,Worth every penny,"Dizo watch is a good one lauch by realme. It's battery working fine for 10 days,also display make it glorious.
It's perfect in look too.
Go for it",Smart watch
51,5.0,Classy product,"I Like the Design of Dizooooo it's Super, Build Quality Great Display Nice and Tracking also Good over all Value for Money 😘",Smart watch
52,3.0,"No Realme Link. Only DIZO App connnection. So, No Google Fit","Well, The watch is good, Has a lot of watch faces when connected with the Dizo app. Good enough battery life and charging time. But, few things I couldn't skip saying
- It only connects with DIZO App. Watches like Dizo Watch Pro, Dizo Watch, Realme Watch S/S Pro Realme Watch Pro/ 2 Pro connects with Realme Link Application and can sync data with Google Fit.
But somehow they didnt add Dizo Watch 2 into Realme Link and the QR Fails to recognise device in Realme Link.
I can only connect it to DI...
READ MORE",Smart watch
53,4.0,Delightful,Just wow,Smart watch
54,5.0,Must buy!,Awesome 😍,Smart watch
55,4.0,Good quality product,Impressed.,Smart watch
56,5.0,Super!,"1. Look very expensive
2. There is no negative point in this watch 😂
3. Spo2 and heart rate under2000
4.100+ watch face + custom watch
5. This watch is batter then others watch under this price
6. This watch is batter then other fake/first copy iWatch 😂
Most affordable watch!!!!!!!!!",Smart watch
57,5.0,Awesome,"Best in quality, best in price,overall best",Smart watch
58,5.0,Worth every penny,"Its a Value for money. Just go for it.
1.Build quality
2.Design
3.Features
4.display
5.Looks..
Everything is top notch.... ❤️❤️",Smart watch
59,5.0,Classy product,You Can Apply Yur Own Wallpaper g👌,Smart watch
60,5.0,Fabulous!,"Buy first sale , feeling happy 😊 n features also good..
Perfect budget smartwatch..",Smart watch
61,5.0,Worth every penny,Super good looking 😊,Smart watch
62,5.0,Simply awesome,Good,Smart watch
63,5.0,Perfect product!,It's amazing watch,Smart watch
64,4.0,Pretty good,A nice watch under the price range.,Smart watch
65,5.0,Terrific,Value for money,Smart watch
66,4.0,Delightful,"Just loving it. ❤️❤️
Awesome product by flipkart in this price range.",Smart watch
67,5.0,Brilliant,Nice smart watch 👍,Smart watch
68,5.0,Perfect product!,I just loved it 🔥🧿,Smart watch
69,5.0,Great product,Good i loved it ...happy me,Smart watch
70,5.0,Fabulous!,Value for money ❤️💯,Smart watch
71,5.0,Wonderful,"Premium build and looks
Budget friendly
Overall a good smart watch under 3000",Smart watch
72,5.0,Worth every penny,Amazing watch in this price segment,Smart watch
73,4.0,Delightful,"Nice product 😊👍
But Display 3/5",Smart watch
74,5.0,Excellent,Very nice and good shopping with flipkart,Smart watch
