,Rating,Heading,Review,Product
0,1.0,Did not meet expectations,Camera is too very clear the photo is very clear,Smartphone
1,4.0,Really Nice,Overall performance is Good,Smartphone
2,2.0,Slightly disappointed,Sound is very less,Smartphone
3,1.0,Don't waste your money,"One of the worst phones I have ever bought in my life.

# Banking app or UPI app always crashed when it verified the Sim sue to Flash SMS.

# No app Clone or dual app.

# No app lock.

# No additional setting.

# No system Setting.

# No Galary.

# No file Manager.

And many more.

This is only a dabba 128gb Phone.",Smartphone
4,2.0,Bad quality,"Bought it's for my mother , she has been facing tremendous problems within a month I had to take it to service centre for overheating software problems recently there has been charging and even the response of the touch has been on and off",Smartphone
5,2.0,Slightly disappointed,Chinese phone... Purchase it for some others,Smartphone
6,1.0,Terrible product,The company provide used products so don't buy from flipkart,Smartphone
7,1.0,Did not meet expectations,touch not work proper,Smartphone
8,4.0,Very Good,Good product..,Smartphone
9,4.0,Good choice,Moto always good mobile,Smartphone
10,4.0,Nice product,Value for quality,Smartphone
11,1.0,Did not meet expectations,Dont buy this product..software fault in whole lot.. exchanged twiced but same problem occured.. now what to do,Smartphone
12,3.0,Decent product,Nice product really worth it,Smartphone
13,3.0,Just okay,best mobile in this price,Smartphone
14,4.0,Nice product,It's a money worth product.,Smartphone
15,5.0,Perfect product!,Not bad..,Smartphone
16,4.0,Really Nice,Picture best,Smartphone
17,1.0,Hated it!,Device starting heating 1st day of purchasing,Smartphone
18,4.0,Delightful,Best value for phone📱,Smartphone
19,3.0,Does the job,Sound clarity not good,Smartphone
20,3.0,Does the job,Phone is heavy and for installing a sim you have to open a back cover and display is not too bright,Smartphone
21,4.0,Good quality product,It is good but needs to improve.,Smartphone
22,3.0,Decent product,Somewhat slow performance Especially while using dialer and camera,Smartphone
23,3.0,Good,Nice phone.. Camera is average... Phone battery is heavy. Battery backup is good .. Audio quality is nice...Blue color is good to look.. Nice phone at this range.. Back cover is not included in the package..,Smartphone
24,2.0,Slightly disappointed,Lcd brightness too bad. Camera avarage quality.,Smartphone
25,5.0,Super!,Great device,Smartphone
