,Rating,Heading,Review,Product
0,5.0,Must buy!,awesome product....,DSLR
1,4.0,Really Nice,very good for this price range... beginners will learn a lot.,DSLR
2,2.0,Moderate,not as expected picture quality,DSLR
3,1.0,Worthless,So satisfying with the product and delivery service was excellent. Thank you for your service 🙏❤,DSLR
4,3.0,Just okay,"The build quality is ok .....plastic but looks good . For a entry level camera its best in this price range . But you want a serious photography career then nikon is best .....the natural colour is better in nikon.
It has one issue sometimes you can't able to take picture with flash mode on in Auto mode.....still I m struggling to solve this .....its a bad experience with this dslr.
But picture quality is good for a entry level dslr.",DSLR
5,5.0,Terrific purchase,Nicr,DSLR
6,1.0,Worst experience ever!,MEMORY CARD NOT RECEIVED,DSLR
7,4.0,Value-for-money,Very good Camera,DSLR
8,5.0,Worth every penny,best products,DSLR
9,3.0,Does the job,Jus ok,DSLR
10,5.0,Brilliant,Awsm camera,DSLR
11,4.0,Value-for-money,"camera was nice but focusing is not so good, but for a beginner's is the best choice to buy",DSLR
12,3.0,Fair,standard dslr for beginners...,DSLR
13,4.0,Very Good,good !,DSLR
14,4.0,Very Good,Good and worth,DSLR
15,1.0,Worthless,Worst camera,DSLR
16,5.0,Fabulous!,Nice value of money,DSLR
17,4.0,Value-for-money,Quite good DSLR for New users,DSLR
18,5.0,Best in the market!,Is good working,DSLR
19,5.0,Wonderful,product is gud,DSLR
20,3.0,Just okay,Super quality bt battery is not heavy,DSLR
21,5.0,Highly recommended,Awesome 😎,DSLR
22,1.0,Hated it!,Wast of mony,DSLR
23,1.0,Worst experience ever!,camera was good but ur services was so frustrating,DSLR
24,4.0,Very Good,"Hello
Good dslr camera for beginner's there is no complexity in using it use it for one day you will be habituaded to use it good photo quality.",DSLR
25,5.0,Brilliant,good quality I'm happy,DSLR
26,5.0,Terrific,"Very good,,, camera",DSLR
27,4.0,Value-for-money,Amazing product on this price ..thank you flipkart,DSLR
28,4.0,Good choice,Only drawback I felt is one metering missing,DSLR
