,Rating,Heading,Review,Product
0,4.0,Good quality product,amazing product,Home theatre
1,5.0,Mind-blowing purchase,Very very nice 👍👍👍,Home theatre
2,4.0,Nice product,Nice ...,Home theatre
3,2.0,Slightly disappointed,is not blinking lights sound quality very low,Home theatre
4,5.0,Perfect product!,Superb Very Good,Home theatre
5,1.0,Not recommended at all,After one month review this home theater woofer not work.. total waste of money.,Home theatre
6,3.0,Does the job,Sound is not up to the mark sound is low I am using f&d 2013 model it is 70 watts home theatre it is better than motorola,Home theatre
7,5.0,Excellent,Suparrr 🥰🥰🥰,Home theatre
8,1.0,Worthless,"Very worst
Humming noise every time I switched on the device",Home theatre
9,1.0,Absolute rubbish!,Bass gone within 30days. Please dont buy.,Home theatre
10,4.0,Good quality product,Good material,Home theatre
11,2.0,Expected a better product,Very very poor quality of sound..do not buy it,Home theatre
12,5.0,Highly recommended,nice sound and bass,Home theatre
13,4.0,Value-for-money,Super bass and good sound quality,Home theatre
14,1.0,Horrible,"Idk it's product fault or seller, but i received defective product after waiting so long. It is making weird noise when switching on, and not at all stopping.

Made a replacement request immediately.",Home theatre
15,5.0,Best in the market!,Superb bass,Home theatre
16,1.0,Very poor,Very very bad product and remote is missing ... sounds quality is not good and speakers are .. vibrating ND produce..bad sounds,Home theatre
17,3.0,Does the job,"You will not get home theatre effect (5.1).
You will get 2.1 output through Blutooth and AUX.
For 5.1 you have use DVD RCA cable and a device which converts 2.1 to 5.1 which cost around 3500.
Please dont waste your money in this product.

You will get very very low sound from rear satellite speaker as compare to front satellite speaker.( You will not get home theatre effect in your room)

If You Are planning to buy Music System then go for Boat Avante 1550 120W.( Don't buy this Product ).
WAS...
READ MORE",Home theatre
18,3.0,Just okay,fantastic sound quality & bass effect but not satisfy with loudness very slow sound,Home theatre
19,5.0,Worth every penny,"Super, value of money",Home theatre
20,5.0,Highly recommended,VaLue for money 💸💰,Home theatre
21,1.0,Don't waste your money,Poor sound and received damage condition . Replacement policy is not satisfied.dont buy this product,Home theatre
22,2.0,Bad quality,Just ok.. Blutooth connection worst..,Home theatre
23,4.0,Value-for-money,Very good sound and base,Home theatre
24,3.0,Decent product,"Average sound system.
Sub woofer - Average
Speakers - Average. Never expect crystal clear sound.
Volume - Enough for a single room.
Bass - Average bass. Never expect high BOOM BOOM sound.",Home theatre
25,1.0,Waste of money!,"Very bad
Bass coming poor",Home theatre
26,5.0,Awesome,Sony is best,Home theatre
27,3.0,Good,Excellant,Home theatre
28,1.0,Plss dont buy,The sound is not clear,Home theatre
29,4.0,Delightful,It's quality is just awesome..,Home theatre
30,5.0,Classy product,Thanks For Flipkart,Home theatre
31,1.0,Worthless,Bass problem max volume,Home theatre
32,4.0,Value-for-money,"Wasam,,very good product",Home theatre
33,1.0,Hated it!,My two speakers are not working,Home theatre
34,4.0,Pretty good,Boom bass,Home theatre
35,3.0,Good,It is good product under this price range..,Home theatre
36,5.0,Just wow!,Very good Sound & Bass,Home theatre
37,2.0,Not good,"Within 1 month 2 speaker is not working properly ,",Home theatre
38,5.0,Wonderful,Good sound output,Home theatre
39,1.0,Worst experience ever!,Cheap quality,Home theatre
40,4.0,Really Nice,Good sound quality. Awesome product from Sony in low price...,Home theatre
41,1.0,Useless product,Saund vary bad,Home theatre
42,2.0,Not good,Damage pin,Home theatre
43,5.0,Highly recommended,Best super se uper,Home theatre
44,2.0,Expected a better product,Avarage,Home theatre
45,5.0,Perfect product!,More than expected ☺️,Home theatre
46,1.0,Horrible,Very bad products,Home theatre
47,5.0,Terrific purchase,best HT under 3k,Home theatre
48,3.0,Nice,PLEASE INCREASE BASS. PLEASE 100% INCREASE BASS VOLUME 100.PLEASE 100% INCREASE VOLUME OF SOUNDS 50 TO 100.PLEASE 100% INCREASE BLUETOOTH CONNECTIVITY.PLEASE 100% GIVE ME GOOD REMOTE CONTROL.,Home theatre
49,2.0,Moderate,Bad prodekt,Home theatre
50,4.0,Good choice,"Nice one, expectations not met, almost good product, good sound and packaging was osm....",Home theatre
51,3.0,Decent product,"Bass - 5*
Treble - 2*
Sound quality - 2*
Over all 3*
Bass is mind blowing, superb. Too much extra as expectation, you have to reduce the bass, but no treble in systen. Boost bass you can't use, the bass starts bursting.
Previously i had intex 4850+ whose sound clarity is better then motorola.
Hdmi arc is not connected with my PC",Home theatre
52,3.0,Decent product,Average product,Home theatre
53,5.0,Must buy!,Awesome deal,Home theatre
54,5.0,Highly recommended,For small room,Home theatre
55,4.0,Pretty good,Nice product. Sufficient for living room. Value for money.,Home theatre
56,2.0,Not good,Totally Waste of money! Not satisfied with the bass. Very poor product. I am totally disappointed with this product .,Home theatre
57,4.0,Good choice,I am satisfied with this purchase.,Home theatre
58,5.0,Highly recommended,😍 Nice Good Product 🤗,Home theatre
59,4.0,Value-for-money,All are nice,Home theatre
60,5.0,Terrific,Nice dj is available,Home theatre
61,4.0,Nice product,This product sounds quality is perfect but not deep bass,Home theatre
62,5.0,Fabulous!,NICE,Home theatre
63,1.0,Utterly Disappointed,Bought this product 15-20 days ago woofer voice got unclear suddenly and voice is not at all clear don't buy the product its waste of money,Home theatre
64,4.0,Delightful,Awesome sound system in this range.. No need to think to buy it.. Go for it,Home theatre
65,5.0,Perfect product!,",super bass",Home theatre
66,2.0,Could be way better,sound prablam,Home theatre
67,1.0,Waste of money!,"Very very bad item, my product was damaged. I was sed them return request but, they cancelled my request. I am very sorry about this product.",Home theatre
68,5.0,Just wow!,brilliant speakers,Home theatre
69,5.0,Terrific purchase,now its work,Home theatre
70,1.0,Terrible product,dont buy this beacous its fully damaged speakers and two speaker was not working....,Home theatre
71,5.0,Perfect product!,Nice products 5*,Home theatre
72,4.0,Nice,Its best not only good more than best volume and bass bass completely like a dj. Very nice product,Home theatre
73,5.0,Worth every penny,Good the sound,Home theatre
74,3.0,Decent product,Very good clear sound good sound good bass,Home theatre
75,1.0,Horrible,"Sound n bass is good
But after 1-2 weeks of use, the bass doesn't work
Please do not buy this product
It's soooo useless",Home theatre
76,2.0,Could be way better,The sound is not that great and is not loud the bass effect could have been better,Home theatre
77,1.0,Unsatisfactory,Bass problem,Home theatre
78,4.0,Value-for-money,"After 9 months of purchase the speaker's are working very well, only the fm channels are not to that point clear..",Home theatre
79,1.0,Useless product,This product is very bad,Home theatre
80,4.0,Value-for-money,feels like mini theatre,Home theatre
81,5.0,Nice product,V good,Home theatre
82,2.0,Waste product,Waste products,Home theatre
83,1.0,Waste of money!,"Its a very cheap product, 100% vaste of money",Home theatre
84,1.0,Useless product,"There is problem of connection. It lags and disconnect many times and also it is not connected in first you have to struggle to connect.
Sound is very low you can only get 20w sound max.",Home theatre
85,2.0,Moderate,"The bass is too heavy.. If you really want to listen music and not the bass, then go for other speakers.. There is no bass control.",Home theatre
86,4.0,Worth the money,Its soooo nice product i like this,Home theatre
