,Rating,Heading,Review,Product
0,5.0,Wonderful,Worth it,Monitor
1,4.0,Good choice,Power cable length is very low,Monitor
2,3.0,Good,It's has LED backlight but it is LCD MONITOR,Monitor
3,2.0,Bad quality,"Review is after 1 year usage :

No issues with functioning wise.
Display is ok ok . (4/5)
Bleeding of light from edges (1/5)
Hinge to rotate monitor up n down is tight (1/5)

Expected more from a display leader in market",Monitor
4,4.0,Pretty good,GOOD PRODUCT,Monitor
5,2.0,Not good,Viewing angle is very worst,Monitor
6,4.0,Worth the money,Very good working,Monitor
7,4.0,Wonderful,Worth for the price,Monitor
8,5.0,Simply awesome,Good super,Monitor
9,1.0,Worst experience ever!,bad quality,Monitor
10,1.0,Terrible product,"screen quality poor
waste of time and money",Monitor
11,2.0,Slightly disappointed,It is not HD panel it is LCD I am sad to purchase it.,Monitor
12,5.0,Worth every penny,Just wow ....,Monitor
13,4.0,Wonderful,this is good,Monitor
14,1.0,Don't waste your money,"I never expected this from flipkart, I received the damage product... Don't buy this product they'll send the damage item, you couldn't find out the damage ,once you switch on the monitor then only you come to know. Be careful people, Simply I wasted 8,799 rupees in the name of offer...",Monitor
15,1.0,Worthless,normal LCD is better than this,Monitor
16,5.0,Highly recommended,Goods pruduct,Monitor
17,3.0,Fair,poor quality 😢 of the product plz drop the price,Monitor
18,1.0,Useless product,Not happy,Monitor
19,1.0,Very poor,"Inferior product - one of the worst from Dell. Even a laptop screen second hand is better than this. Inferior quality LCD screen parts used. Display has round white marks within 10 days. Reducing clarity of display of numbers. Not recommended to use for work/business purposes.

Power plug send with this item is not of Indian standard. It is a very large power plug, send on purpose so that the return policy of 10 days will lapse.",Monitor
20,2.0,Slightly disappointed,Not a good product,Monitor
21,2.0,Expected a better product,"not an ideal monitor for home due to non availability of height adjustment. if you have to place a box under the monitor then why waste 8k? go for a cheaper alternative. nevertheless, 2 stars for the okayish screen.",Monitor
22,1.0,Don't waste your money,very poor product.,Monitor
23,5.0,Worth every penny,Supar Quality,Monitor
24,3.0,Nice,good working but sound and bass slow hd panel,Monitor
25,1.0,Very poor,Delivery speed very very poor,Monitor
26,2.0,Not good,"Viewing angle is very bad, only 90 digree you can view",Monitor
27,3.0,Does the job,it is LCD not LED,Monitor
28,5.0,Must buy!,fab awesome,Monitor
29,5.0,Simply awesome,It is awesome,Monitor
30,3.0,Just okay,No issues with display but it has no inbuilt speakers,Monitor
31,1.0,Worthless,Display started flickering and almost dead after 1yr of usage!,Monitor
32,4.0,Good choice,Awesome LG Good 👌👌👌,Monitor
33,2.0,Not good,its mga cable not working. damaged cable. pls replace with new one. thank u,Monitor
34,2.0,Not good,screen not fabricated properly can see led glowing from top quality of the monitor is cheap but color reproduction is good can't expect more from a made in China 🇨🇳 product cheap quality,Monitor
35,5.0,Must buy!,Super prodect,Monitor
36,3.0,Good,Sound quality not good getting very low sound 🔊🔊🔊 other things are very nice,Monitor
37,5.0,Mind-blowing purchase,Nic,Monitor
38,5.0,Super!,I love it,Monitor
39,4.0,Good choice,Very good 👍,Monitor
40,4.0,Good choice,Very nice and good Quality,Monitor
41,4.0,Really Nice,Amagin very good display,Monitor
42,4.0,Worth the money,Worth for money,Monitor
43,5.0,Fabulous!,thank,Monitor
44,1.0,Utterly Disappointed,Worst monitor ever. Huge backlight bleeding problem,Monitor
45,1.0,Absolute rubbish!,Very worst product. Can't use 10min also.,Monitor
46,1.0,Utterly Disappointed,bad view angle ....worst purchase ever from flipkart,Monitor
47,5.0,Great product,Very gud,Monitor
48,2.0,Expected a better product,It's ok not so good,Monitor
49,1.0,Terrible product,Not good ... only 28 day .. screen shaking ..,Monitor
50,5.0,Terrific,Hdmi and VGA,Monitor
51,3.0,Nice,Screen Quality not good,Monitor
52,5.0,Worth every penny,best it is,Monitor
53,1.0,Hated it!,Dell provides nonsense cord which is so much big pin sochet which not available electric borad I will attach pic next open the box and here is lockdown I can go out and buy new cord another company.. really disappointing,Monitor
54,4.0,Nice product,As expected.,Monitor
55,3.0,Fair,Resolution is very low. It won't work with MacBooks for second display.,Monitor
56,2.0,Moderate,bad video and picture quality,Monitor
57,4.0,Value-for-money,I m happy with this product,Monitor
58,5.0,Just wow!,Awsome,Monitor
59,4.0,Worth the money,Gr8,Monitor
60,3.0,Nice,Expected a better display... Not good..,Monitor
61,5.0,Brilliant,cool,Monitor
62,2.0,Don't buy....Worst customer support from HP,"I have received the product on time. On installation , I have satisfied with the product. But after a week , I have noticed some dead pixels in the top left corner of the monitor. Now some yellowish glow appearing on the left side of the monitor. I have tried to contact withe the HP customer service. Fortunately I cannot contact them till now. Worst customer support I have experienced. Never recommended to buy.",Monitor
63,3.0,Does the job,Not bad at this price. The sound is pathetic. Screen is good.,Monitor
64,4.0,Really Nice,It's reach my exceptations.,Monitor
65,1.0,Hated it!,"Picture quality is poor
Very low resolution",Monitor
66,4.0,Worth the money,Nice Product quality 👍,Monitor
67,4.0,Wonderful,"Good Monitor,value for money",Monitor
68,4.0,Wonderful,good and awsome,Monitor
69,5.0,Brilliant,good happy,Monitor
70,3.0,Not good,"It is a very average monitor, with very average specs.

Pros:
1. Cheap.. very cheap
2. 31.5 inches so quite big
3. 1080p so you can enjoy FHD (though you are better off with a 4K monitor)
4. Has both VGA and HDMI support (You also get a VGA cable)

Cons:
1. Quality is very cheap
2. The stand is not adjustable and has a very uncomfortable mechanism. It wobbles too much and does not fit well with the monitor. It has a place for four screws (which I suppose would have made it tighter and also co...
READ MORE",Monitor
71,1.0,Unsatisfactory,"It's LCD not LED, company is making us fool by writing LED Backlit. It's game of words which company is writing as headline. In manual as well as on monitor it's clearly written that LCD monitor.",Monitor
72,5.0,Wonderful,Good one,Monitor
73,3.0,Does the job,A lot complicated to mount on wall. No instructions asper brouchers.,Monitor
74,1.0,Very poor,display quality is very poor,Monitor
75,5.0,Wonderful,Working good,Monitor
76,4.0,Really Nice,Perfect for design work,Monitor
77,1.0,Absolute rubbish!,"I was using flipkart from last 2 years and this was my worst experience. No mechanism for replacement and refund. Not satisfied with their policies. Forget about refund or replacement!
I am definitely switching to other better sites.",Monitor
78,2.0,Bad quality,screen is flickering...,Monitor
79,3.0,Fair,Good value for money,Monitor
80,3.0,Just okay,From side view its not so clear rest of features ok,Monitor
81,2.0,Bad quality,Overall good one but the stand given to place it on the table is not sturdy enough and the monitor is swinging like a dancing cobra to the slightest movement of the mouse on the desktop table. Satisfied with the picture quality but not the built. Lenovo might be saving the planet from using less plastic.,Monitor
82,2.0,Expected a better product,Very bad product,Monitor
83,5.0,Just wow!,Thanks 😊😘,Monitor
84,4.0,Worth the money,awesome desktop,Monitor
85,4.0,Value-for-money,good.,Monitor
86,3.0,Fair,Hp monitor size is good with 1920*1080 . But the color quality lacks a lot. You cant expect a high quality.,Monitor
87,3.0,Nice,"This is no LED monitor, IPS panel provided unfortunately I was not able to change the monitor due to covid condition

Please don't go for this, if you planning to buy monitor for office use, go with any standard Dell monitor",Monitor
88,3.0,Just okay,"The monitor is good, but it has a fixed resolution.",Monitor
89,3.0,Good,Product is good but price is expensive,Monitor
90,5.0,Awesome,Perfect...,Monitor
91,3.0,Just an OK monitor,Good budget monitor. Nothing great you need to expect at this price.,Monitor
92,5.0,Terrific,owesome,Monitor
93,3.0,Nice,"My pc doesn't recognize hd+ resolution, but giving hd only.
Lcd angle color distortion is not subtle... So choose. I personally can live with it",Monitor
94,3.0,Decent product,good monitor but there's a significant amount of current leakage in the stand-+,Monitor
95,3.0,Fair,"Not bad. 27 inch screen with speakers is a good option, but it's resolution feel pretty low compare to it's size. You can see pixels while using. For 27 inch monitor it's necessary to have 2k resolution..",Monitor
96,3.0,Just okay,Would have liked to know in advance that it has a 16A power plug,Monitor
97,5.0,Just wow!,Awesome,Monitor
98,5.0,Excellent,Good vibes,Monitor
99,3.0,Fair,Overpriced product.,Monitor
100,5.0,Mind-blowing purchase,Awesome 👍👍,Monitor
101,4.0,Worth the money,value for money product,Monitor
102,5.0,Classy product,..Good,Monitor
103,1.0,Worthless,Don't buy...Third class product also defective.. flipkart not refund my money...its totally west..Time and money,Monitor
104,5.0,Classy product,ge,Monitor
105,4.0,Nice product,Good dealings,Monitor
