,Rating,Heading,Review,Product
0,2.0,"BAKWAS, HP is best","just prints....but print quality is not at all near to that of hp Deskjet 1000. very very slow & that too with huge noise. while paper pickup , makes noise like that of a hammer & it feels like the printer is going to break now.
I never used cannon, & I feel I was good with hp. Will switch back to it",Printer
1,1.0,Very poor,Very bad.... After refilling its not working.....,Printer
2,5.0,Simply awesome,invoice sand,Printer
3,4.0,Wonderful,"Awesome printer, for school, college and office work. I was a little disappointed when I saw it was having scratches over the scanning area, though it doesn't create a huge impact on it. Canon have always been my buddy saviour, so yes I'll recommend it to others if thinking too get all in one printer",Printer
4,4.0,Pretty good,Functioning good but not he cartridge get empty soon print costs too high,Printer
5,3.0,not so good but overall useful if it is working properly,if it is working properly then it is best choice for home but when not working it is worst .... its cartridge cost is very high ... its cartridge is not refillabe ... once i refilled its cartridge but aftr refilling it didn't work ...,Printer
6,5.0,Nic product,Canon prefect,Printer
7,4.0,Delightful,Good product but cartridge gets empty very soon.,Printer
8,1.0,Worst experience ever!,I will Refare Not Buy This Pinter. This Pinter Not Work In pc.,Printer
9,4.0,Value-for-money,its nice,Printer
10,4.0,Good quality product,Very good quality. Ideal for home usage....printing speed is little slow but nothing to worry....,Printer
11,4.0,Very Good,Nice printing but I have took 4 printouts and it indicates low ink but in specification s to took more over 50 prints so I'm slightly dissipointed,Printer
12,3.0,Decent product,If you don't want to spend much more than it is OK.,Printer
13,2.0,Not good,Value for money product,Printer
14,5.0,Wonderful,Very very best canon printer,Printer
15,4.0,Really Nice,It's Really good..Thank you..Flipkart..!!,Printer
16,4.0,Nice product,Its is a good product for home use. But ink consumption is high otherwise it's is a nice printer,Printer
17,3.0,Nice,Thinking about cartridge ????,Printer
18,3.0,Decent product,Low copy,Printer
19,5.0,Mind-blowing purchase,Awesome product I like it,Printer
20,5.0,Terrific,Nice work,Printer
21,1.0,Useless product,Cartridge black noy working,Printer
22,5.0,Fabulous!,highly pleased,Printer
23,4.0,Really Nice,overall good all in one in low price,Printer
24,1.0,Did not meet expectations,it was damage ..later on i hv gone to care plz dnt buy this,Printer
25,1.0,Worst experience ever!,"Bad product...
Don't purchase this....",Printer
26,4.0,Good for price of 2k. But ink given is very less.,Good for price of 2k. But ink given is very less.,Printer
27,5.0,Fabulous!,very super nice,Printer
28,4.0,Pretty good,very good product,Printer
29,4.0,Good Product,"After checking the functions (copy, scan,print) Mg 2470 printer good enough for home purpose.. best buy at rs. 2000.color print quality also good. overall am satisfied.",Printer
30,4.0,Worth the money,"Excellent, can be used only for home perpose only, not good for bulk use , operation user friendly, not complicated, , good for children projects, bank statement,",Printer
31,5.0,Worth every penny,Print ravadam ledhu,Printer
32,4.0,paper required,Provide all type glossy paper worked with it☺,Printer
33,4.0,Nice product,Product is excellent but Flipkart Delivery delayed.,Printer
34,1.0,Unsatisfactory,useless. very costly .,Printer
35,4.0,Good product but has its warts.,"I purchased this product after reading so many positive reviews
about it on Flipkart. It is a great product if you're using only Windows
as your primary operating system. On the other hand, if you use Mac OS X
as your OS, contrary to what the specs say, the scanner is not detected by
the operating system *at all*. You will essentially have to give up on scanning
using this MFP if you use Mac OS X. The rest works fine.

Also if you have figured out how to get the scanner to work with this MFP
...
READ MORE",Printer
36,5.0,Highly recommended,nic dilevari,Printer
37,5.0,Terrific,Very exalant product.,Printer
38,5.0,Best in the market!,The best product,Printer
39,5.0,Brilliant,worth the price,Printer
40,4.0,Pretty good,its a good product for a regular use.,Printer
41,4.0,Very Good,good one nice product,Printer
42,2.0,Bad quality,replace new catrage problem so plz no buy this printer,Printer
43,4.0,Good quality product,Working well,Printer
44,2.0,Five Stars,"Very poor product
Do not buy",Printer
45,5.0,Awesome,very good podect,Printer
46,1.0,Terrible product,Thogali. Booner putak hat,Printer
47,5.0,Great product,Wowww,Printer
48,5.0,Terrific purchase,super product,Printer
49,4.0,Worth the money,"ITS GOOD FAST EXCEPT THE FACT NO USB , AND THE PAPER OUT TRAY IS HIDDEN INSIDE",Printer
50,5.0,Terrific purchase,good.,Printer
51,5.0,Good,5 point,Printer
52,4.0,Gainer,"Less price through flipkart & product is
genuine. And Mfg. Date is current.",Printer
53,5.0,Super!,Well,Printer
54,5.0,Classy product,Overall ratings is good,Printer
55,5.0,Brilliant,Wonderful,Printer
56,1.0,Waste of money!,cottage price very high and no of print few.,Printer
57,5.0,Best in the market!,very good printer,Printer
58,3.0,Does the job,Ink is completing very fast even by taking grey prints,Printer
59,5.0,Just wow!,better in this price,Printer
60,4.0,Worth the money,Very good quality product. Suggested printer. Good clarity in print outs. Very usful all in one printer.,Printer
61,4.0,Good choice,nice product and light weight,Printer
62,3.0,Fair,Bad performance,Printer
63,5.0,Best in the market!,pl send me invoice bill,Printer
64,5.0,Must buy!,Super Printing,Printer
65,5.0,Brilliant,its good.go for it,Printer
66,4.0,Worth the money,ink level very small product are best,Printer
67,5.0,Classy product,Nicely,Printer
68,1.0,Terrible product,"Canon service bad
Don't buy",Printer
69,5.0,Worthless,We want ink,Printer
70,2.0,Could be way better,"Guys, buy this only if your usage is once in a while. cartridges are very tiny and they are very expensive. You have to buy cartridges quite often.

Am really disappointed with my purchase",Printer
71,1.0,Vest Product money vest,Worst Product Vest of money,Printer
72,1.0,Useless product,Very poor quality product,Printer
73,5.0,Highly recommended,Good Product...,Printer
74,3.0,Does the job,without cartage your scanner not working if u want use u need always cartage available,Printer
75,3.0,Nice,ink is very fast dry,Printer
76,5.0,Fabulous!,nice quality,Printer
77,3.0,Decent product,Nice printer.. but buying ink cartridge is higher..,Printer
78,1.0,Worthless,product not working,Printer
79,5.0,Fabulous!,Good quality printer,Printer
80,2.0,Expected a better product,Refill very expensive.,Printer
81,4.0,Delightful,The cartaige gets over very fast if you will take my suggestion please buy the printer having tank system non cartaige printer .,Printer
82,5.0,Mind-blowing purchase,V good dilevry,Printer
83,5.0,Terrific,thanks flipkart,Printer
84,1.0,Unsatisfactory,Pathatic... Very bad.just horrible. Don't buy it..,Printer
85,4.0,Good choice,Cannon😍😍😍,Printer
86,4.0,Nice product,It's good. I liked it....,Printer
87,5.0,Highly recommended,service is ok,Printer
88,4.0,Wonderful,very good....,Printer
89,5.0,Simply awesome,Superb for office and shop,Printer
90,4.0,Delightful,very nice...,Printer
91,5.0,Just wow!,Excellent product must buy,Printer
92,2.0,Moderate,Am not happy its working only few days after that this printer cant not work properly dont buy,Printer
93,5.0,Fabulous!,Very Bad not working 🖨🖨,Printer
94,5.0,Highly recommended,working fine till now.,Printer
95,4.0,Wonderful,good product.,Printer
96,1.0,Worst experience ever!,Not bad..good quality,Printer
97,5.0,Best in the market!,"best price, best quality",Printer
98,4.0,Wonderful,price wise this is a very good printer.. Must buy👍,Printer
99,5.0,Worth every penny,Great thanks,Printer
100,5.0,Classy product,Easy to use and to set,Printer
101,5.0,Awesome,superrrbbbb,Printer
102,2.0,Could be way better,"Working and print quality all are good, but the ink cartridge costs more than the printer and it prints just 80 to 100 pages per cartridge. Better watch for other product.",Printer
103,2.0,Expected a better product,"Waste product, don't buy this printer",Printer
104,1.0,Absolute rubbish!,DO NOT WORKING DAMMAGE PRODUCT,Printer
105,3.0,Does the job,Low price is the good but not a impressed,Printer
106,1.0,Utterly Disappointed,Very Bad Product.Don't buy this Product,Printer
107,1.0,Very poor,It's cartridge is very low quality.,Printer
108,5.0,Terrific purchase,this printer is so good,Printer
109,1.0,Pretty good,Worst seller poor quality,Printer
110,4.0,Pretty good,For Only Limited ...,Printer
111,4.0,Really Nice,"Printed is good but the cartridge eats half of money of printer, bottle injection is best way to reduce the rate",Printer
112,3.0,Does the job,Nice but use after one month always tell tht cartridge error problem now plz fix my solution and replaced cartridge thnxx..,Printer
113,1.0,Hated it!,call me u r product is so bad,Printer
114,1.0,Don't waste your money,Dont buy,Printer
115,2.0,Bad quality,its been months since i bought this printer from canon... it gives good quality printout but the ink empties easily and is costly (not pocket friendly for students). And theres no good app for using via mobile.. i hope canon make a good software to use with great features on mobile.,Printer
116,1.0,Biggest mistake of my life!,Not that much good,Printer
117,4.0,Nice product,Low ink efficiency,Printer
118,4.0,Value-for-money,super running,Printer
119,2.0,Could be way better,USB cable not now,Printer
120,4.0,Wonderful,Very useful with cheap rate. Those who can not afford the high price of catridge can look for the duplicate ink injection method. But that catridge need to change after the multiple injections .,Printer
121,4.0,Nice product,Very nice colour prints.. Must buy for homeusage...,Printer
122,4.0,Delightful,Nice but aftter service product so cously,Printer
123,5.0,Must buy!,NYC so nyc,Printer
124,3.0,Nice To work.....,Nice To Work But The ink is Very Costly....,Printer
125,3.0,Met Expectations,Worth of money.,Printer
126,5.0,Excellent,Fine,Printer
127,3.0,Decent product,"Overall good quality but cartridges are very expensive.
My black ink is over in 15 days. Approximately 10-15 pages are printed",Printer
128,1.0,Waste of money!,waste product..once it worked then stopped,Printer
129,1.0,Not recommended at all,I say don't buy it because after 1 month it will stop working,Printer
130,5.0,Best in the market!,low prise best perfom,Printer
131,1.0,Absolute rubbish!,printer was not working.,Printer
132,3.0,Fair,avvarege product,Printer
133,3.0,Nice,Printing and Scanning run smooth.But the black cartridge is out after few prints.Does all printer like Canon act like this ?,Printer
134,1.0,Worthless,Please don't take this product.,Printer
135,4.0,Nice product,"Its very nice product. No need to think twice, just take it if fitting in your budget. Print speed is good, print quality is very nice (black, color, glossy photos etc) and also cost effective printing.
I will recommend to take this printer.",Printer
136,4.0,Pretty good,"Reasonable price, but cartridges cost was high",Printer
137,1.0,Waste of money!,So expensive,Printer
138,3.0,Just okay,Not good. Don't buy.,Printer
139,1.0,Hated it!,Worst than worst,Printer
140,1.0,Very poor,West of money...,Printer
141,3.0,Does the job,Dabal side not working printing,Printer
142,5.0,Super!,First class,Printer
143,5.0,Brilliant,Nice product..,Printer
144,1.0,Absolute rubbish!,Working is slow,Printer
145,3.0,excellent make and speed,"it is curious to see the good speed of canon pixma with print , copy and scan. but one fault it makes is that it cannot reduce the ink consumption. it simply engulfs both black and coloured inks , but still it is best budget printer in flipkart till date....",Printer
146,5.0,Terrific,excellent on delivery ...,Printer
147,3.0,Nice,good ....,Printer
148,1.0,Did not meet expectations,Money waste product....,Printer
149,4.0,Nice product,Good product works well,Printer
150,4.0,Good Product to buy,"Hi,
This printer is definitely a good budget printer cum scanner with copy feature. Only drawback is that few portion of side edges of an A4 paper is not coming while scanning. But as always, it was a excellent packaging and one day delivery by WS Retail on flipkart.
Thank you Flipkart and WS Retail.",Printer
151,4.0,Very Good,its too good..two ink cartriges are free one black n another one is colour..its awesome,Printer
152,4.0,Good one,"I bought this only just 2299/-, it's quite slow but good for educational purposes at home for minute use...",Printer
153,4.0,Worth the money,Usefully product for student.,Printer
154,1.0,Worthless,Printing cost too high,Printer
155,1.0,Terrible product,That not for my use bt i can't replace ir,Printer
156,4.0,Pretty good,Good for small uses.,Printer
157,1.0,Waste of money!,because it vey bad printer,Printer
158,5.0,Nice product for home use,Nice for home use,Printer
159,2.0,Moderate,Product is quite good in printing. Just having ink issues generally.,Printer
160,5.0,Worth every penny,Very very good,Printer
161,3.0,Fair,product is nice in this price,Printer
162,5.0,Must buy!,Good product using very easy,Printer
163,1.0,Not recommended at all,Normal,Printer
164,1.0,Useless product,Waste wroste performane,Printer
165,4.0,Very Good,good but cartridges price is to high,Printer
166,4.0,Wonderful,Useful,Printer
167,4.0,Five Stars,Just got in 1900,Printer
168,1.0,Don't waste your money,Never buy it,Printer
169,4.0,Really Nice,Useful for home purpose.,Printer
170,1.0,Worst experience ever!,More than waste please dont buy see another products,Printer
171,4.0,Value-for-money,"Everything is awesome, I Never expected it to be this much good in this price. Just I don't print up to 1.5 inches at bottom of page, that much page will be blank always.",Printer
172,3.0,wow...,nice printer... it s so good for this price section.... i am feel happy.. any one want low cost printer select this one..,Printer
173,5.0,Great product,printer is problam,Printer
174,5.0,Mind-blowing purchase,Nice product 👌👌👌,Printer
175,5.0,Canon,Good shopping,Printer
176,4.0,Very Good,"One of the best printers.
But little bit costly nowadays.",Printer
177,2.0,Moderate,Ink is no longer maximum print 30 pages and the ink is very expensive,Printer
178,3.0,Canon printer MG 2570,Product is very good but cartage is very expensive so don't buy this product in hol life,Printer
179,3.0,Decent product,Ink is very expensive... Don't buy this product... You can buy g series canon printer b'coz the cost of print is very low...,Printer
180,4.0,Worth the money,Consumes ink a lot!!!,Printer
181,1.0,Very poor,Don't buy this product plz..Waste of money,Printer
182,4.0,Really Nice,Everything is fine but for one issue.Whenever I switch on the printer one print happens automatically.I don't know if it can be corrected.That is why 4 star.,Printer
183,2.0,Bad quality,Not a good printer 🙂,Printer
184,3.0,Decent product,Thank you flipkart super printer,Printer
185,4.0,Worth the money,Very nice and fastly working,Printer
186,4.0,value for money,"good, i bought it when it was1800 from flipkart.it worked perfectly,. Only problem is you have to remove and put catridges again and again to make sure it detects. i dont know whther i got fault piece or all such products have such problem. but it works perfectly fine. dont expect ink to long last/. maximum 100 pages black and white and 30 pages colour",Printer
187,2.0,Could be way better,It is not working properly. Waste of money,Printer
188,4.0,Worth the money,Cheap and best for home use....,Printer
189,4.0,Very Good,Wow,Printer
190,4.0,Delightful,Good Printer,Printer
