,Rating,Heading,Review,Product
0,3.0,Fair,frequency is not good??????,Router
1,1.0,Terrible product,Poor network 3rd class router,Router
2,5.0,Perfect product!,Good product..... Good range,Router
3,4.0,Value-for-money,May be a outdated currently but this router is compatible with ddwrt and many ..a good buy,Router
4,5.0,Wonderful,Range up to 150 feet,Router
5,2.0,Could be way better,"Not working after 3 months of usage...
Main port doesn't working properly 😞",Router
6,1.0,Very poor,Plz do not buy this worst product ever.it doesn't give range like 3.it just give a single antenna range.,Router
7,1.0,Moderate,its not good,Router
8,5.0,Fabulous!,Working well.,Router
9,3.0,Good,range is not as expected,Router
10,5.0,Terrific,Quality product.,Router
11,1.0,Did not meet expectations,The product is already registered,Router
12,1.0,Useless product,Product is faulty... Plz dony sell this type of product which is faulty... Ultimately its going to be returned anyway but it hampers the goodwill of Flipkart,Router
13,2.0,Expected a better product,Output is not good.. it's almost 1/5 the actual speed,Router
14,1.0,Horrible,This is waste product I'm not getting any signal there is port for antena ☹️,Router
15,1.0,Don't waste your money,Very bad product do not buy no internet problem always,Router
16,4.0,Good quality product,The router is same as seen in the image but there is one problem the first two lan ports are not working and the other two are working properly so this is it.,Router
17,1.0,Unsatisfactory,Avarage,Router
18,5.0,Good product,Good product for the price!,Router
19,4.0,Good quality product,very good product..dual band work very well...,Router
20,5.0,Brilliant,Nice Product got 25 mbps,Router
21,4.0,Very Good,This boardband is super super very good for home🤩,Router
22,2.0,Expected a better product,I tried 4 USB dongles but none was supported.,Router
23,1.0,Horrible,Very bad router plese do not take becuse more than 20ms not support,Router
24,4.0,Good choice,Working well in my Railwire Internet FTTH Connection,Router
25,5.0,Brilliant,Good one for my home,Router
26,3.0,Good,Main purpose for purchasing this router is to have a network drive. It did support the network drive via the available USB 2.0 port however the data transfer speed to and from the drive is very slow (less than 1 Mbps). Feel like I am using 2G internet speed.,Router
27,4.0,Pretty good,Best..not for call..only data card,Router
28,1.0,NOT A ROBUST PRODUCT,"THE MODEM IS LESS THAN 2 MONTHS OLD, SOME HARDWARE PROBLEM,UNABLE TO STORE USERNAME AND PASSWORD.",Router
29,2.0,Moderate,Not cover entire house as mentioned,Router
30,5.0,Great product,Just awsm ....,Router
31,4.0,Pretty good,Range of 5g is not that like 2.4. Overall liked it.,Router
32,4.0,Worth the money,Not so bad,Router
33,1.0,Hated it!,"Nothing liked..lot of issue facing with this extender
Wifi connecting and disconnecting continue",Router
34,2.0,Expected a better product,Very bad work,Router
35,5.0,Money worthy product,Money worthy product,Router
36,1.0,Hated it!,Bad Product......... don't buy,Router
37,5.0,Classy product,Affordable 'A Class' Router.,Router
38,4.0,Really Nice,Working nice .,Router
39,5.0,Must buy!,Best 👍👍,Router
40,2.0,Slightly disappointed,Connectivity issue daily,Router
41,4.0,Worth the money,Good network provides good wifi speed,Router
42,1.0,Best Router : Cheap Marketing tricks,"The actual cost of router is around 1500 .
The seller claims its 53 % off discount (4000) is just a marketing tricks.

I dont understand why flip kart encourages this kind of cheap sellers spoling the brand name.
5 * for product
0 for Seller/flipkart",Router
43,1.0,Utterly Disappointed,Speed drops more than 60%,Router
44,1.0,Unsatisfactory,This item has many problems for pppoe connection so i suggest you not purchase this item and flipkart show less price of this product then not be purchased this product,Router
45,1.0,Hated it!,Bad product very bad 6hrs letter internet connection off continue,Router
46,5.0,Awesome,Osm product...,Router
47,3.0,Nice,"Getting disconnected from this device frequently. From the main wifi router, no such problems felt yet for the last 3 years.",Router
48,1.0,Utterly Disappointed,It’s not worth buying and range is also not good.I can’t make a what’s app video call with 40Mbps internet using this router. I am using it from past 2months not preferable.,Router
49,4.0,Pretty good,"Speed somewhat better than before...but it doesn't boost up signal ...if u want to buy it make sure u have good signal strength at least 3 bars ...other wise speed will be slow...if u have only 1 or 2 bars signal then you should go for mr200, or 600 with lpda or Omni antenna",Router
50,2.0,Could be way better,"I had purchased this product thinking it will accelerate WiFi signals of my main WiFi router on ground floor on the 1st floor. But I found the signal it is transmitting is not very strong and also the WiFi speed is reduced to a great extent on 1st floor. My purpose was live streaming of Discourses on Facebook. It's not useful for this purpose as the streaming stops frequently. However for what's app, Facebook etc it is not an issue.",Router
51,5.0,Brilliant,Wsm,Router
52,5.0,Perfect product!,"good price
value for money",Router
53,5.0,Must buy!,Amazing.....Nice product....,Router
54,5.0,Fabulous!,Awsome range and easy to use,Router
55,4.0,FANTASTIC DELIVERY : FLIPKART at his best,"gr8 delivery, product reaches before time ,this shows that how flipkart is getting fav among online shopping . product is good ,good in budget , range is good for wi-fi ,easy installation",Router
56,4.0,Worth the money,Very easy to Install. Hardly takes seconds. Fast. Timely Delivery by Ekart. But a bit overpriced.,Router
57,4.0,Very Good,Vry nyc,Router
58,5.0,Wonderful,100% satisfied,Router
59,5.0,Best in the market!,All nice,Router
60,1.0,Don't waste your money,"After 2 weeks the router stopped working.
Try some other router not this",Router
61,1.0,Very poor,Worst Router Ever... stop working after 31 days 😂,Router
62,3.0,Decent product,Just okay,Router
63,1.0,Utterly Disappointed,Not upto the mark and it is not 1200 Sq feet properly,Router
64,1.0,Not recommended at all,After i bought this the Lights are not properly working which for me it's difficult to know if the wifi signal is working or not,Router
65,4.0,Nice product,Great product. Connection is mostly stable and there is a good range for this router to work with,Router
66,1.0,Don't waste your money,It’s worse product it has no range plus again and again it disconnected and even we call helpline tp link put in que as long as you disappointed,Router
67,1.0,Unsatisfactory,"Worst product , the single router was much better",Router
