,Rating,Heading,Review,Product
0,1.0,Don't waste your money,This is the worst experience i have ever had with any tech.. The bands costing much less than this one works flawlessly than this one. Its just been 3 days with the watch and the watch stops working all the time.. Sometimes the screen freezes.. sometimes it shows no notifications.. i am just fed up with this thing.,Smart watch
1,4.0,Wonderful,Product is very good value for money original and main use it has been more than a week battery is very good connect to phone you can comfortably get battery backup up to 7 days but if you do auto heart rate monitoring Its battery backup will hardly last for 2 to 3 days.,Smart watch
2,5.0,Terrific,Nice👍👍👍 ❤❤❤,Smart watch
3,1.0,Over rated product. not worth its price,please don't go for versa 3. The watch software is very sluggish for a product at this price point. the swipes are slow and certain watch faces make it too slow. often the watch fails to sync with its phone app and even repeated attempts to manually sync too is impossible.,Smart watch
4,5.0,Must buy!,ONLY ONE WORD FANTASTIC 👍,Smart watch
5,4.0,Very Good,"Very light weight , crisp clear didplay, good built quality but heart rate is not accurate, having a difference of near 10 numbers.",Smart watch
6,5.0,Excellent,Super product with accurate features,Smart watch
7,5.0,Must buy!,"Nice super watches 👍👍👍

Paisa vasool 👍👍🤔🤔🤔🤔🤔",Smart watch
8,1.0,Worst experience ever!,"Dont go with this smart watch.... i waste my money very disappointing with noise brand, data is very inaccurate, user interface is very childish.... This watch nothing in compared to honor, huawei, amzfit etc.",Smart watch
9,4.0,Good choice,Good product. Like it.,Smart watch
10,3.0,Good,No storage option found,Smart watch
11,5.0,Must buy!,speech less,Smart watch
12,1.0,Worst experience ever!,My CONCER HAS NOT BEEN RESOLVED BUT IT WAS MARKED AS RESOLVED. EXTREMELY POOR SERVICE CUSTOEMR SERVICE BY FLIPKART. i HAVE NEVER EXPECTED THIS FROM FLIPKART,Smart watch
13,4.0,Worth the money,Good watch and nice features n love to use it,Smart watch
14,1.0,Absolute rubbish!,Worst product. battery life is worst.,Smart watch
15,4.0,Worth the money,QUALITY 🤘🔥🔥,Smart watch
16,4.0,Nice product,This price segment one of the best option. But display Touch response & refresh rate are not good.,Smart watch
17,1.0,Worst experience ever!,not working properly running activiti and gps tracking,Smart watch
18,4.0,Value-for-money,Super . Tracking is good. Bettry life only 5 days,Smart watch
19,4.0,Pretty good,Best smartwatch,Smart watch
20,4.0,Good choice,This whach very good,Smart watch
21,5.0,Highly recommended,really it's a amazing product for beginners,Smart watch
22,3.0,Fair,"Actually dissatisfied about the battery which is not even coming for 3 days, other than this is not very accurate in activities.",Smart watch
23,1.0,Horrible,Apple watch will work if we have the iPhone else it will waste of money,Smart watch
24,1.0,Useless product,Sport activity tracking is worst.. GPS disconnect very soon.. data recorded is also wrong ..this product is not worth 4999/-,Smart watch
25,4.0,Pretty good,After using this watch for two months I would recommend everyone like to say just go for it..In this range it's best one you have..,Smart watch
26,4.0,Value-for-money,Quality is too Good. I am using this for many days.,Smart watch
27,4.0,Nice product,Great Product..,Smart watch
28,4.0,Delightful,Good product but not styles,Smart watch
29,4.0,Delightful,Good looking watch,Smart watch
30,3.0,Does the job,"it was good but this was not feature proof , it does not contain gps also",Smart watch
31,4.0,Good quality product,"Seems to be a good watch, it’s my first smart watch but sometimes raise to wake up function doesn’t not work💁‍♂️",Smart watch
32,4.0,Value-for-money,Working good,Smart watch
33,2.0,Not good,Battery is dead,Smart watch
34,4.0,Wonderful,Overall size is not enough for a man,Smart watch
35,5.0,Must buy!,Lil on bigger dial but its fine.,Smart watch
36,4.0,Value-for-money,"Watch is overall nice....
In between workout, hanged 2 times.
Other than that no problem at all",Smart watch
37,4.0,Good choice,Very nice product but battery last for only 2 days,Smart watch
38,4.0,Really Nice,Nic,Smart watch
39,1.0,Not recommended at all,"Product with swollen battery
Dangerous for children",Smart watch
40,5.0,Simply awesome,Smart watch,Smart watch
41,2.0,Not good,software issue in this watch,Smart watch
42,5.0,Terrific,I loved it...it's my dreams,Smart watch
43,5.0,Super!,Very nice and looking so beautiful,Smart watch
44,2.0,Expected a better product,"There is much limitations in this model, u cannot change watch display type, U cannot set ur watch according to your need such as the display light time is very less, just for 2 or 3 seconds, so again and again u have to push the button to keep display awake. It may damage the button for over use, u cannot set the display time as it has no option. Also the BP monitor not reliable I think. I have a high blood pressure, own BP machine shows on an average 140/85 BP but this BP monitor always sho...
READ MORE",Smart watch
45,4.0,Really Nice,"Pros: Accurate results
Good build quality
Display is bright and clear
Zepp app is good

Cons: Display size is small
No always on display feature
No gps feature
Price is bit higer side",Smart watch
46,5.0,Wonderful,I am haapy,Smart watch
47,1.0,Hated it!,"It shows incorrect steps count.
It suddenly stops working.
I heart rate is inaccurate.

I cannot return because I realized all these issues only after 7days of purchase.",Smart watch
48,5.0,Worth every penny,Walmart body mobile mobile,Smart watch
49,5.0,Awesome,Awesome Product With Good Battery Life,Smart watch
50,1.0,Very poor,threw money in the water,Smart watch
51,5.0,Worth every penny,Beyond my expectations 😍 Loved it...🧡,Smart watch
52,5.0,Classy product,Nice watch good product,Smart watch
53,1.0,Worthless,Worst product. Don't waste money.,Smart watch
54,3.0,Nice,"Just an average product ,we can't consider it as a watch it's just a band with square display",Smart watch
55,2.0,Moderate,"After using 2months it's not working properly , sometimes it's hang and vibrate automatically & sometime it's automatically switched off",Smart watch
56,4.0,Delightful,Best products.. range of 5000,Smart watch
57,3.0,Does the job,"It's amazing watch more features is available
Ok it's good produc





































Ok by",Smart watch
58,1.0,Utterly Disappointed,"Waste watch

No ambience

No look

No style

No image

No facility

Full of waste",Smart watch
59,4.0,Very Good,"Please improve the battery, its a 5 star if the battery was a bit better. Overall, a good value for money product, go 4 it.",Smart watch
60,4.0,Wonderful,Everything else is perfect but screen is small....,Smart watch
61,5.0,Perfect product!,very bad smartwatch,Smart watch
62,5.0,Worth every penny,Awesomeness,Smart watch
63,5.0,Great product,Osm watch 🤟,Smart watch
64,4.0,Nice product,"10 day running and now 49% charging

Only call notification",Smart watch
65,2.0,Could be way better,Very bad product.. battery not proper working,Smart watch
66,4.0,Wonderful,The watch was almost good….but emojis and some languages are missing in notification bar…battery backup was good…realme link connectivity is very poor,Smart watch
67,5.0,Great product,Good and valuable product at this price.,Smart watch
68,2.0,Slightly disappointed,Battery quality is poor,Smart watch
69,5.0,Worth every penny,Mind blowing 👍👍🤗,Smart watch
70,2.0,Not good,Damege product,Smart watch
71,5.0,Terrific,Super watch excellent performance,Smart watch
72,5.0,Super!,Nice watch I love it,Smart watch
73,1.0,Did not meet expectations,"very bad prodct and the battery was not working, don't buy this product",Smart watch
74,5.0,Brilliant,Strongly recommended,Smart watch
75,5.0,Classy product,World's Best Watch,Smart watch
76,5.0,Just wow!,Nice pic 👍,Smart watch
77,4.0,Value-for-money,Good product.,Smart watch
78,5.0,Excellent,Awesome 🥰🥰🥰🥰,Smart watch
79,4.0,Really Nice,Descent product.. Built quality needs to be more,Smart watch
80,5.0,Perfect product!,Nice cool 😎🆒,Smart watch
81,5.0,Awesome,Awesome watch....,Smart watch
82,2.0,Could be way better,Just ok,Smart watch
83,3.0,Fair,Don't buy it,Smart watch
84,3.0,Decent product,"Except spo2 and heart rate monitor, the watch of this brand or from other brands are hardly of any use. Without these digital measurements we were able to make ourselves healthier. We didn't need these devices to track our health",Smart watch
85,4.0,Good quality product,I got the watch. It's not charging...What's the quality check? Very disappointed.,Smart watch
86,3.0,Good,Good product...but screen size is small... overall value for money...,Smart watch
87,5.0,Highly recommended,Wooow product is awasome.....,Smart watch
88,5.0,Awesome,Excellent product I am loving it ☺️☺️☺️☺️☺️,Smart watch
89,5.0,Worth every penny,Amazing.....!!!!!!,Smart watch
90,3.0,Nice,Ok ok not so good buy from apple store,Smart watch
91,1.0,Hated it!,Vry bad.seller not responding.pls don't buy this watch,Smart watch
92,4.0,Pretty good,Nice one 👍 v.good,Smart watch
93,5.0,Classy product,Super nice product 👌,Smart watch
94,5.0,Must buy!,I really loved it..😍,Smart watch
95,5.0,Brilliant,Awesome watch at this price....Paisa wasool,Smart watch
96,4.0,Good quality product,"Nice Watch, Call Recive Option Available. Other Features Is Good.👍👍",Smart watch
97,5.0,Worth every penny,Superb 🤩,Smart watch
98,4.0,Value-for-money,Good not bad,Smart watch
99,3.0,Good,"I purchased this watch for tracking my activities else I had more watches for my wrist. After using it, I am bit unhappy. For example, I walked for 4 minutes at my balcony and the step count went from 488 to 856. Man, that's a big error. SPO2 tracking is also having error as it shows big difference within seconds. However, the heart rate is monitored perfectly. So, out of the three parameters for which I purchased this watch, it let me down on two.",Smart watch
100,1.0,Utterly Disappointed,"I got continuous notification problems when using my new versa 2. It pops up with the remind of 'notification service not running. A phone restart is required to re-enable notification on your tracker'. However, restart the mobile doesn't work at all. I tried to clear the data and cache in the Fitbit App setting but it failed.

Be aware that the WhatsApp, Instagram, phone, SMS notification will not work on this smartwatch",Smart watch
101,3.0,Nice,Light weight but really nice 3500 good,Smart watch
102,5.0,Classy product,super product,Smart watch
103,5.0,Worth every penny,Really awesome for that price,Smart watch
104,5.0,Awesome,Thank you flipkart,Smart watch
105,1.0,Don't waste your money,Charger worst,Smart watch
106,4.0,Good choice,Overall watch is good,Smart watch
107,5.0,Great product,Very nice 🙂,Smart watch
108,1.0,Absolute rubbish!,Very bad product.,Smart watch
109,5.0,Perfect product!,Great watch must buy👍🏼,Smart watch
110,5.0,Best in the market!,Good with this price,Smart watch
111,5.0,Highly recommended,Simply Amazing,Smart watch
112,4.0,Value-for-money,"The smartwatch - Fire Boltt Ninja is a unique way to motivate people to stay fit. There are other companies who are actually taking advantage by charge enormous amount. However, Boltt is doing great work by keeping the price competitive.

The display, touch sensitivity, metal and glass body has a very premium feel. This works correctly as per my personal tests on various factors.",Smart watch
113,5.0,Mind-blowing purchase,Worth every penny.A must buy gadget. 💯,Smart watch
114,5.0,Awesome,Overall Good watch!!,Smart watch
115,5.0,Excellent,Awesome watch 👌,Smart watch
116,4.0,Really Nice,"Except for packaging issue, excellent product.",Smart watch
117,1.0,Hated it!,"Dont buy this smart watch, dial is tooo small.. And a huge besel too.. Its fit for kids ane not for adults. Very bad",Smart watch
118,5.0,Terrific,Awesome always,Smart watch
119,4.0,Worth the money,"After 22 days of medium use,still 19% charge left ... There is no issues after 45 days of usage ...",Smart watch
120,5.0,Worth every penny,Superb watch❤️❤️😍,Smart watch
121,5.0,Just wow!,Nice one easy to use,Smart watch
122,1.0,Waste of money!,Dead pixel were found after one week use,Smart watch
123,4.0,Worth the money,"A real good deal for the money, monstrous battery backup, good screen, has all the necessary features it's really not bad. The accuracy of the step counter is a bit flimsy and the band you get with it gets real loose real soon. Other then that it's a worthy competitor",Smart watch
124,5.0,Perfect product!,High Quality product can go for it.,Smart watch
125,4.0,Very Good,Nice product. Battery lasts 3 to 4 days.Touch screen works smooth.No fingerprints on screen after touching its tft but it feels like amoled..🔥,Smart watch
126,5.0,Did not meet expectations,"Very bad product
And bakwash hai",Smart watch
127,3.0,Decent product,"Activity tracking isn't as it has to be,
I had a problem with music controller
For 5k price display should be amoled.",Smart watch
128,4.0,Wonderful,The battery backup isn't that good..,Smart watch
129,1.0,Did not meet expectations,"This product future slowly work & sleep track not properly measure & balt very bed quality ,4day battry beckup ..........this product not satisfied",Smart watch
130,5.0,Perfect product!,So nice smart watch,Smart watch
131,3.0,Good,It is not showing the steps properly .,Smart watch
132,4.0,Wonderful,battery not as expected running just 3 days only ... but other function works well,Smart watch
133,3.0,Good,Phone is awesome but no exciting features..,Smart watch
134,5.0,Classy product,Love it! Looks great👍❣,Smart watch
135,3.0,Decent product,Nice but not properly respond,Smart watch
136,1.0,Worst experience ever!,"Bought this so called smartwatch on 22nd April and used for two weeks.

Pros :
Display is of good quality and legible in sunlight.

UI is easy to use.

Heart rate monitor is accurate as I compared it with my other watch samsung galaxy active 2, there was hardly any variation in the heart rate of both watches.



Cons:
Strap is the worst I have ever seen in a watch, very uncomfortable to wear. I keep on removing the watch after every 2-3 hours. Never had such issues with Galaxy active 2.

Noti...
READ MORE",Smart watch
137,5.0,Classy product,very very nice watch 👍😊 💯,Smart watch
138,5.0,Mind-blowing purchase,Awesome feels very premium I just loved it,Smart watch
139,1.0,Utterly Disappointed,"The problem is still on the clock
Is Flipkart's service so poor
Poor management
If you want this watch refund
The problem I am telling is that in this hour
Your technician is also crazy, he did not understand anything, there is a battery issue and there is a problem inside this watch.",Smart watch
140,5.0,Highly recommended,I like good buy,Smart watch
141,4.0,Good quality product,Unwanted buy .Not much use to me. But there are no drawbacks.,Smart watch
142,3.0,Decent product,"Battery backup is good and all featured working fine but after use couple of days every time I have to connect with phone else I don't receive any notifications.
So if you don't have real me phone then you have to connect evey time.",Smart watch
143,1.0,Worthless,"It not show oxigen level. All time it show 97 I think this is fix for the watch.
This team say we call but they're only passing time for nothing.",Smart watch
144,4.0,Delightful,"9 Days since I have brought the watch, and not charged yet. Still has 37% battery with all features enabled. Running on day 10.
Overall features of the watch are very good.
Connectivity to app is problematic sometimes.
I had to unpair the watch and re add it again. May be a glitch, or may be an issue with the app software.
Touch function sometimes is bad but negligible. Have to keep swiping it to access the different screens.
Hope to see more options for watch faces.",Smart watch
145,5.0,Perfect product!,Best in class,Smart watch
146,5.0,Perfect product!,Excellent Quality and superb design love it,Smart watch
147,5.0,Awesome,Looking good,Smart watch
148,4.0,Good choice,Good build quality would be great if this had gps and call receiving options,Smart watch
149,4.0,Wonderful,For me its good enough.,Smart watch
150,4.0,Really Nice,"Good item
I lvd the purchase",Smart watch
151,1.0,Worst experience ever!,"Many issue in this watch
Issue 1-watch connected with very law range area
Issue 2-when you r open the Realme app and watch connected then you r remove app from background watch disconnected
Issue 3-watch measuring 90%, correct
Suggested to Realme for many feature add in this price range smart watch
1- GPS , microphone ,speaker and amoled display",Smart watch
152,5.0,Wonderful,Love,Smart watch
153,5.0,Must buy!,Nyc watch nd battery is also good..,Smart watch
154,1.0,Did not meet expectations,Music not operat,Smart watch
155,4.0,Wonderful,"Performance is good, look wise it's decent too.",Smart watch
156,1.0,Utterly Disappointed,Heart rate sensor not accurate,Smart watch
157,1.0,Worst experience ever!,"Worst product & worst replacement policy. Never buying such rubbish product. All cheeters, never lived up to expectations.",Smart watch
158,5.0,Best in the market!,Nice product & smoothly wrk 👌,Smart watch
159,4.0,Nice product,Over all good for money,Smart watch
160,3.0,Decent product,Good but not excellent 😎,Smart watch
161,5.0,Classy product,Astounding ...must purchase,Smart watch
162,1.0,Terrible product,Battery capacity very low,Smart watch
163,3.0,Fair,Writing this review after 5 months earlier when the watch is not in our hands the sensor will not work but now even if the watch is placed on a table the sensor work automatically and giving weird values. And sensor will not stop it works continuously,Smart watch
164,1.0,Worst experience ever!,Stops working most of the time and doesnt even respond... Just a shut down for 4 to 5 hours... Well it is awesome while in working condition but has great issues,Smart watch
165,5.0,Terrific,Good buy,Smart watch
166,2.0,Not good,"Connectivity issue
Some features are not at all working.
Notifications stopped working after 2 days",Smart watch
167,3.0,Nice,"Display is not as big as shown in picture ,border are is large ,not so heavy ...its good but but i like heavy watches.",Smart watch
168,5.0,Excellent,Apple is awesome!!,Smart watch
169,5.0,Highly recommended,Nice 😍😍😍,Smart watch
170,1.0,Hated it!,Getting in fiplakrt is waste,Smart watch
171,5.0,Awesome,Nice product ❤️,Smart watch
172,3.0,Does the job,"I have been using this watch for about a month now. I am using it along with a Google pixel 3. My initial impressions:

What I liked

1. All the features in tracking your health work as expected. Haven't faced any issue with this tracking whatsoever.
2. The auto detection of workout is one of the excellent feature.
3. Looks very good on your wrist. I bought the steel black version. And has a ton of watch faces to go with.
4. I wasn't used to wearing a watch throughout the day, so initially I...
READ MORE",Smart watch
173,3.0,Just okay,"Watch actual screen size small , but dial is big .",Smart watch
174,3.0,Decent product,"Watch design is not good, watch display is not full screen",Smart watch
175,4.0,Nice product,Just change the band and it's look like a premium watch.,Smart watch
176,5.0,Classy product,Super duper ...mind blowing...i love itt....,Smart watch
177,1.0,Waste of money!,How can run without battery.....?,Smart watch
178,5.0,Fabulous!,Great choice 👍,Smart watch
179,5.0,Highly recommended,Reliable one ! 😊,Smart watch
180,2.0,Moderate,Bad product battary back up very bad waste,Smart watch
181,5.0,Classy product,I loved it,Smart watch
182,5.0,Best in the market!,Awesome product by apple,Smart watch
183,5.0,Terrific purchase,"Nice product l like it,",Smart watch
184,1.0,Hated it!,Display size not expected.. Very small. Size display,Smart watch
185,5.0,Must buy!,Overall good. Design can be improved a bit.,Smart watch
186,1.0,Utterly Disappointed,Useless product. Damaged & Disgusting,Smart watch
187,5.0,Simply awesome,"Nice, working good",Smart watch
188,4.0,Very Good,Overall a good buy... For looks... Rest not even close compared to what they delivered in fit fusion... Spo2 is not accurate... not sure bout it's durability doesn't feel like SS built as well... But again at this price point OK... expected better from noise... Fit fusion was far better....,Smart watch
189,1.0,Useless product,sound not good battery backup zeero,Smart watch
190,4.0,Wonderful,"Best smartwatch under 5k
Battery backup is good
Better to use with screen protector,small scratches occurs easily
No inbuilt GPS
Watch is very light weight
Overall good budget smartwatch",Smart watch
191,1.0,Don't waste your money,Worst very very bad chetta,Smart watch
192,4.0,Value-for-money,"If ur in Realme community you must go for it and not only this ,it is value for money watching the features & quality of the product.",Smart watch
193,5.0,Simply awesome,Thank you realme and flipkart,Smart watch
194,5.0,Excellent,Awesome watch. Battery life is average.,Smart watch
195,5.0,Must buy!,𝙰𝚠𝚏𝚞𝚕 𝚙𝚛𝚘𝚍𝚞𝚌𝚝,Smart watch
196,5.0,Terrific purchase,nice and skinny . love it,Smart watch
197,4.0,Really Nice,Every individuals hands are not of standard size. A company like apple should have the commonsense to give options for strap when purchasing the product,Smart watch
198,5.0,Great product,Outstanding !!,Smart watch
199,3.0,Just okay,It would have been better if the price was around 3000..,Smart watch
200,1.0,Not recommended at all,"Worst product which I have brought till today. Defective piece received.
I recommend not to buy this product due to wrost quality and rejected my replacement and refund by amazfit.also dont answered for rejection of replace of product.",Smart watch
201,1.0,Worst experience ever!,Custom not working,Smart watch
202,4.0,Pretty good,The best smart watch under budget category define wise mind blowing the only thing we're there where only 40+ watch faces also spo2 monitor been struggling to give results,Smart watch
203,1.0,Did not meet expectations,"it's store only 4 watch faces into watch...strap quality also not good...SpO2 and stress function not working(Always showing measurement failed)...Lift hand to screen wake up function not working properly......... I think all youtube reviews are paid may be😠

Waste of money.....🤬",Smart watch
204,5.0,Fabulous!,Loved ❤️,Smart watch
205,5.0,Best in the market!,Super fine,Smart watch
206,4.0,Delightful,"I'm writing this review after 48hrs of use. I'm not promoting the sale of company. This is the honest one I'm writing which I found after the use.

pros:-
1. Heart rate & spo2 sensor are 85%-90% accurate(improvement needed
2. By switch into a sports mode it can give a better result if the watch is connected to your phone and your phone gps is on.
3. sleep tracking is also good but can be better by improving the algorithm & software. its 75% accurate.
4. Built quality, colour saturation is up ...
READ MORE",Smart watch
207,5.0,Simply awesome,Excellent watch!! Really.. it is worth it,Smart watch
208,5.0,Excellent,Awesome product 👍 thanks for the ⌚,Smart watch
209,1.0,Utterly Disappointed,WhatsApp not work so I'm not satisfied,Smart watch
210,5.0,Excellent,Very nice product realme watch,Smart watch
211,3.0,Does the job,"Features and look wise the watch is good, but has some connection issue. I need to restart the watch everytime when I connect with my mobile. I think the update may solve this issue. I will give 5 star after fix this issue. Thank you.",Smart watch
212,5.0,Super!,The best Watch!,Smart watch
213,5.0,Just wow!,Expectation met with the product.,Smart watch
214,4.0,Nice product,"Reviewing after 3 days of use. Battery will last max 5-6 days as I can see it's still 57% left after 72hours.steps tracking is like 90%accurat,sports modes are like too good with great touch,overall it's really good in this price range.🔥",Smart watch
215,4.0,Nice product,Amazing watch ......,Smart watch
216,4.0,Very Good,"Best in market, Value for money. Sleep tracking consume more battery otherwise all good.",Smart watch
217,5.0,Brilliant,Loved it...... In one word..... Osm😍❤❤❤,Smart watch
218,5.0,Simply awesome,super watch ultimate..value for money,Smart watch
219,4.0,Good quality product,Great watch.. writing after using for 10 days,Smart watch
220,4.0,Value-for-money,Watch is good but cannot give notification and can't sync all the time,Smart watch
221,4.0,Good quality product,Just OK product,Smart watch
222,2.0,Slightly disappointed,After some days the gravity sensor does not working properly. for the proper work of gravity sensor we want to rest the watch then it will work .......🧐🧐🧐🧐🧐,Smart watch
223,3.0,Good,"Good Product

Pros:
1.Rugged Smartwatch with Military Grade Certifications, So don't fear about to Broken, Damage and Scratches.
2.Battey Life Awesome as per My Usages 23 Days Will Come easily.
3.Lot of watch faces available from amazefit app. And also available thirdparty Sources.
4.Strap Meterial Very Good Sturdy Feel.

Cons:
1.Cant Speak Calls on this Watch, you Can reject or Silent Only.
2.Notification Reply not available which is little disappointed.
3.Display Quality Not Great So Some o...
READ MORE",Smart watch
224,1.0,Horrible,very bed products,Smart watch
225,4.0,Pretty good,Gud product,Smart watch
226,5.0,Highly recommended,Base product value for money,Smart watch
227,2.0,Not good,"cannot get the call or message notifications on the watch and also the water reminder alert in 3 4 times only in 24h while it is set to once per hour... return once got the replacement and still the same issue...
not a good experience",Smart watch
228,4.0,Nice product,In this watch one problem is that if we want to charge the watch and we have to remove straps of it it opens very tightly and we have to force it to remove the straps but all the way the watch is very good,Smart watch
229,1.0,Useless product,"Camera quality is very bad, battery backup is very low",Smart watch
230,5.0,Fabulous!,Best product....,Smart watch
231,1.0,Worst experience ever!,Very good quality product 😍😍,Smart watch
232,5.0,Worth every penny,Nice Products,Smart watch
233,5.0,Excellent,Nice product for basic checks and monitoring,Smart watch
234,5.0,Great product,Nice design good product I love it,Smart watch
235,2.0,Could be way better,Not work in all specifications,Smart watch
