,Rating,Heading,Review,Product
0,5.0,Brilliant,It's a nice budget entry level mirrorless camera with whole lot of features. Auto focus is amazing for stills and 3/5 for moving objects. Picture clarity is also amazing with different resolutions and quality to pick from. Video quality is also amazing but limited to 15 mins. Night photography is also good with night mode. Overall it's a very good deal except a little focus problems for moving objects or when u take a burst shot.,DSLR
1,4.0,Good choice for the money,"For a beginner, this Camera seems to be the best mirrorless option Available w.r.t price and features.

A rapid fast 2 Day delivery earns my kudos. Good packaging with the additional Fuji bag and SD card is also included.

Initial impressions of the Camera is positive. Good picture quality with the provided kit lenses although I had more fun with the 55-230 mm lens. Easy to understand interface with easy image capture.

You can wirelessly transmit photos from the camera to your phone throug...
READ MORE",DSLR
2,5.0,Wonderful,"it's a awesome camera loved it.
really underrated.

if you really confused between these and cannon m50 mark 2 i suggest save some money and go for it.
type c charging.
bigger sensor
lot of lenses available.
just go for it.
display of its like a smart phone.
menus are really simple and easy to use.
touch are smooth..
just good for everything...",DSLR
3,,,,DSLR
4,,,,DSLR
5,,,,DSLR
6,,,,DSLR
7,,,,DSLR
8,,,,DSLR
9,,,,DSLR
10,5.0,Brilliant,It's a nice budget entry level mirrorless camera with whole lot of features. Auto focus is amazing for stills and 3/5 for moving objects. Picture clarity is also amazing with different resolutions and quality to pick from. Video quality is also amazing but limited to 15 mins. Night photography is also good with night mode. Overall it's a very good deal except a little focus problems for moving objects or when u take a burst shot.,DSLR
11,4.0,Good choice for the money,"For a beginner, this Camera seems to be the best mirrorless option Available w.r.t price and features.

A rapid fast 2 Day delivery earns my kudos. Good packaging with the additional Fuji bag and SD card is also included.

Initial impressions of the Camera is positive. Good picture quality with the provided kit lenses although I had more fun with the 55-230 mm lens. Easy to understand interface with easy image capture.

You can wirelessly transmit photos from the camera to your phone throug...
READ MORE",DSLR
12,5.0,Wonderful,"it's a awesome camera loved it.
really underrated.

if you really confused between these and cannon m50 mark 2 i suggest save some money and go for it.
type c charging.
bigger sensor
lot of lenses available.
just go for it.
display of its like a smart phone.
menus are really simple and easy to use.
touch are smooth..
just good for everything...",DSLR
13,5.0,Best in the market!,People who ever plan to progress from novice to mid level photography go for this instead of Canon m50.... it has amazing JPEGs too... canon m50 wins only in the auto focus department,DSLR
14,4.0,Good choice,Good Product. Great build. Decent battery life. Great Image quality. Nice Colours.,DSLR
