,Rating,Heading,Review,Product
0,5.0,Simply awesome,"Phone is awesome no problem full paisa wasool at this price.🤑😌

Overall looks like 15k-16k 😉 phone because of big display and punch hole camera.😜

Awesome camera quality for this price.😌
Back is plastic but strips design make it stylish there is a free case in the box.🤗
Decent budget phone value for money too.😋
Fingerprint is fast enough decent.👍🏻
1 day battery backup🔋too good for this price. But charging is a bit slow 1.5-2 hours to full charge.
USB Type-C charger is really awesome...
READ MORE",Smartphone
1,5.0,Perfect product!,Same As Expected From Moto! This is the Best value for money smartphone in this price range! Better to avoid other Chinese phones with Ads and bloatwares! Go with this for clean and smooth UI! Thanks to Moto & Flipkart!,Smartphone
2,5.0,Awesome,Good value for money phone. Best past is this phone is on pure Android phone. No adds what comes in Chinese phone. Value for money...,Smartphone
3,,,,Smartphone
4,,,,Smartphone
5,,,,Smartphone
6,,,,Smartphone
7,,,,Smartphone
8,,,,Smartphone
9,5.0,Simply awesome,"Phone is awesome no problem full paisa wasool at this price.🤑😌

Overall looks like 15k-16k 😉 phone because of big display and punch hole camera.😜

Awesome camera quality for this price.😌
Back is plastic but strips design make it stylish there is a free case in the box.🤗
Decent budget phone value for money too.😋
Fingerprint is fast enough decent.👍🏻
1 day battery backup🔋too good for this price. But charging is a bit slow 1.5-2 hours to full charge.
USB Type-C charger is really awesome...
READ MORE",Smartphone
10,5.0,Perfect product!,Same As Expected From Moto! This is the Best value for money smartphone in this price range! Better to avoid other Chinese phones with Ads and bloatwares! Go with this for clean and smooth UI! Thanks to Moto & Flipkart!,Smartphone
11,5.0,Awesome,Good value for money phone. Best past is this phone is on pure Android phone. No adds what comes in Chinese phone. Value for money...,Smartphone
12,4.0,Worth the money,"This mobile low budget in a good phone .
Good display
I am happy purchase in phone
Good camera
But battery is not a good performance.",Smartphone
13,4.0,Value-for-money,"Rear Camera will be better with updates .but the front camera is a concern . Performance is damn good . Phone looks elite , without the cover the phone looks really cool , no one can tell that this is a under 10000 phone . Built quality is good . Night mode camera is good . Battery performs well . Gaming is ok . But u will feel the hd+ display and its a problem
Value for money or not ? Yes it is",Smartphone
14,5.0,Value for Money,"Phone is good in this budget and working fine in daily usage. With clean android experience and 90Hz refresh rate, the phone is way better than other brands (like redmi, realme, oppo etc. which are filled with bloatware) in this price range.",Smartphone
15,4.0,Value-for-money,"Front camera is not as per standard. Back camera is good enough certainly not outstanding.
Phone too thick compared to other new phones in the Market which are much slimmer. Big battery can be an excuse but still phone thickness will make you think twice before going for it.
Processor is new brand (no SD or MT).. working smoothly so far without any lag.
Sound quality is good",Smartphone
16,5.0,Fabulous!,"Really nice Mobile by Motorola, superb look great battery life with triple camera set up. I love to go with my MOTO 🤗 Thank you Motorola & Flipkart🙏 I am really happy 😊",Smartphone
17,5.0,Classy product,"Very good product. It's been only one day , but it looks very good with battery and cameras. With this price , it the best",Smartphone
18,2.0,Not good,"Phone is good and very well optimized , nice battery back up, screen quality is average but 90hz refresh rate does good work ,
android software is butter smooth.
no ads like redmi phones . no extra apps. processor is very solid performance,

!!!Bad things -!!!

*front camera is like vga and my 5 years old moto g4 play clicks better selfie than this front camera really very disappointing.

*slow charging only 10 watts , almost 3 hours to charge and dont support fast charging with fast char...
READ MORE",Smartphone
19,5.0,Highly recommended,"Great Phone at this Price point. Superb cool Design.. Good battery, display and overall performance is superb..Back camera good...Front Camera is average.",Smartphone
20,4.0,Really Nice,"Good mobile poco m3
Pros:
Fullhd display,
smooth tocuh response,
6000mah battery,
avarage weight,
back disign amazing,
no heatting issue,
decent back camera
Excellent sound quality it's very clear
Cons:
front camara not take a clear picture,
Charging time to long .50% charging time 1 hour 35 minutes.
Ovarall the price segment this mobile good",Smartphone
21,5.0,Wonderful,Good phone battery🔋 And camera This price point good phone 🟡 color is so cool😁😁😁 I will get fast sale thank you flipkart,Smartphone
22,,,,Smartphone
23,,,,Smartphone
24,,,,Smartphone
25,,,,Smartphone
26,,,,Smartphone
27,,,,Smartphone
28,,,,Smartphone
29,5.0,Awesome,"I am writing this review after using this mobile phone for 2 days . First of all, I would like to thanks POCO for manufacturing this wonderful phone.

Look : The design of the phone is quite attractive with a different back camera panel having a logo ""poco"" of the company. Body colour texture is excellent. It looks quite premium product. With a plastic back cover, there will be no fingerprint stick with your phone. Although, due to high capacity battery, you may feel little bit heavy on you...
READ MORE",Smartphone
30,5.0,Classy product,This product was absolutely good and it is very smooth and very useful battery very good camera and very used sensor this phone I guess you wearing this 3 phone and enjoy this life and a party time have a fun day,Smartphone
31,4.0,Delightful,It's a value for money product.. But if you r a photography Anthusiast then this phone is definitely not for you.. Pubg works fine so you can play games no doubt. Battery is awesome. I deducted 1star only because in this price segment we might find better phones from realme.,Smartphone
32,5.0,Highly recommended,"Everything is better of the phone except of front camera
Front camera is not as expected and photos are looks like normal cameras
Apart from this battery is superrrbbb
Look it hot
Performance is good
Rear camera is great
Speaker :- Works both of the speaker while playing any sound and sound is awesome
Screen visibility is also great",Smartphone
33,4.0,Worth the money,"This phone is pretty decent
Battery backup and display quality is very good at this price range
Speacker sound quality is also good
Performance is pretty fast .
But only low and balance and high frame rate support on pubg.
Camera quality is good.",Smartphone
34,4.0,Good quality product,"I received my Poco M3 today (delivered by Ekart in 2 days). These are my first impressions.

Design and build: Fits well in hand and it's side mounted finger print scanners ls also placed in an optimal location. A simple plastic back with curved edges. Feels little heavy.

Display: Looks stunning with great colours and balanced and adaptive brightness. It's Full HD+ display is Ideal for watching videos. 60Hz refresh rate is good considering the budget but as I shifted from high end one plu...
READ MORE",Smartphone
35,4.0,Worth the money,"The phone is quite good and value for money.

* Camera is kind of okay, can't complaint while considering the price.

* Battery is above average, will stand for at least one and a half day for normal use. For heavy user's, I think it might stand for one day.

* Display is IPS LCD display which work's very well and the quality is good for the price; also it is best display in among LCD .

* Performance is satisfying, the Chipset handle's daily tasks smoothly and as this is a mid-range Chipset ...
READ MORE",Smartphone
36,3.0,Nice,Thank you Flipkart for such a nice mobile in such a great deal. Phone camera performance is good i like it,Smartphone
37,3.0,Does the job,"The phone looks like very good and also i liked the MI Launcher very much. But, other thinks are average.

I didn't expect this type of camera, camera is very poor...

The phone Heating is a big problem and also charger.
When you plugged the charger for 1hour the heating of the charger looks like, you charged the charger for 10hour. Charger and phone heating is not normal..

I tell that you have to compare other phone at this price range(Narzo 20,MI 9 power) before you buy POCO M3",Smartphone
38,5.0,Classy product,This phone is excellent and it's camera is also excellent and battery backup is good according to its price it is awesome I am very happy to purchase this phone😍😍😍,Smartphone
39,5.0,Excellent,"Today I have got this phone, this is very good phone in this Price. After use this phone, only front camera is little bit down and other than I'm very happy😊 thank you flipkart for faster delivery.",Smartphone
40,5.0,Worth every penny,Good Phone battery And camera This price price point good Phone color is so cool 😁😁😁😁😁I will get fast sale thank you Flipkart 🥰🥰,Smartphone
41,1.0,Horrible Phone at this price,"Battery is not good as shown, with regular use hardly last one day even in fresh new condition.
Upon using for an hour for zoom call, the phone started to heat up too much.
Camera is pathetic, even Redmi Note 4 camera is of same quality for pictures.
Display is also average and so as touch screen, many times touch sensor not working, u need to try twice or thrice.
Finger sensor also not working properly.
Overall not a good phone even in budget range as most of the features given in specificat...
READ MORE",Smartphone
42,1.0,Hated it!,"Battery is not good as shown, with regular use hardly last one day even in fresh new condition.
Camera is pathetic, even redmi 4 camera is of same quality for pictures.
Display is also average and so as touch screen, many times touch sensor not working, u need to try twice or thrice.
Finger sensor also not working properly.
Overall not a good phone even in budget range as most of the features given in specifications are only on paper and not in practical.",Smartphone
